outer_seed,method,from_labels,to_labels,delta_NRMSE,relative_improvement
157,center_width_lcmd,397,429,-0.05458681285943223,0.07851593804670158
157,center_width_lcmd,429,461,-0.08279927657517905,0.12924352661115776
157,center_width_lcmd,461,493,-0.015577502242835939,0.027924369000019274
157,center_width_lcmd,493,525,-0.023493537955018184,0.04332453529941146
157,center_width_lcmd,525,557,-0.009623239244736514,0.018549924095128994
157,center_width_lcmd,557,589,-0.004319260379459955,0.008483245325833328
157,center_width_lcmd,589,621,0.002050689350713397,-0.004062117295730037
157,center_width_lcmd,621,653,-0.012074170029977516,0.02382041312157406
157,gradient_maxdet,397,429,-0.035672792310212365,0.05499220956715013
157,gradient_maxdet,429,461,0.0011397477751037277,-0.0018592484531026294
157,gradient_maxdet,461,493,-0.0261144509713368,0.04252094068406986
157,gradient_maxdet,493,525,0.027349526512737032,-0.0465095879259368
157,gradient_maxdet,525,557,-0.10969184046491154,0.1782476411866592
157,gradient_maxdet,557,589,-0.008832982342290407,0.017466901489623984
157,gradient_maxdet,589,621,0.009122690033923131,-0.018360488767111827
157,gradient_maxdet,621,653,-0.021279441608414995,0.042055229370613366
157,hybrid,397,429,-0.09736154703134325,0.1430751216183402
157,hybrid,429,461,0.038273321963998574,-0.06563418018807755
157,hybrid,461,493,-0.0041098724976288414,0.006613846526517868
157,hybrid,493,525,-0.014261934599645865,0.023103942900304666
157,hybrid,525,557,-0.04234466636336076,0.07021954654794604
157,hybrid,557,589,0.042607510330460285,-0.07599150598077181
157,hybrid,589,621,-0.020181531255128338,0.03345215999402755
157,hybrid,621,653,-0.007007541629049929,0.012017451613747263
157,kernel_ivr,397,429,-0.07677822847459304,0.106248904655093
157,kernel_ivr,429,461,-0.05592646012597946,0.08659386387892391
157,kernel_ivr,461,493,-0.006326400833165713,0.010724142277929309
157,kernel_ivr,493,525,-0.07957182591952905,0.13634768716295811
157,kernel_ivr,525,557,0.04173927949398182,-0.08281222610696827
157,kernel_ivr,557,589,-0.030697452992305863,0.05624691448007095
157,kernel_ivr,589,621,0.008946768993952414,-0.01737017524252592
157,kernel_ivr,621,653,-0.0036275393188117677,0.006922629719265975
157,lcmd,397,429,-0.046390068823843666,0.06340616672390478
157,lcmd,429,461,0.01573904689646699,-0.02296855199868022
157,lcmd,461,493,-0.08362169501748884,0.11929215142429052
157,lcmd,493,525,-0.0188400908408064,0.030517154083352323
157,lcmd,525,557,0.00928683743626224,-0.015516320881295573
157,lcmd,557,589,-0.0011241744733546666,0.001849557003756165
157,lcmd,589,621,-0.03674823339457234,0.06057235563234594
157,lcmd,621,653,-0.010598857295692099,0.018596606704868086
6101,center_width_lcmd,397,429,-0.06625447877221335,0.07536225085964833
6101,center_width_lcmd,429,461,-0.0567146467296189,0.06976895702457586
6101,center_width_lcmd,461,493,-0.0531649740079676,0.07030751967094163
6101,center_width_lcmd,493,525,0.006549842289175989,-0.009316819802247961
6101,center_width_lcmd,525,557,-0.05517860913943118,0.07776426857024868
6101,center_width_lcmd,557,589,0.016757572029616363,-0.02560816694543738
6101,center_width_lcmd,589,621,-0.015094021953837689,0.022490075036783564
6101,center_width_lcmd,621,653,-0.0486752844127597,0.0741947625556108
6101,gradient_maxdet,397,429,0.0009802155206730667,-0.0012361153036533092
6101,gradient_maxdet,429,461,0.012368108178568815,-0.015577730174068709
6101,gradient_maxdet,461,493,-0.06719683956150768,0.08333675398429177
6101,gradient_maxdet,493,525,-0.017967278759321248,0.024308615275372966
6101,gradient_maxdet,525,557,0.005211629650071714,-0.007226682761272626
6101,gradient_maxdet,557,589,0.007372797132752296,-0.010150104325063527
6101,gradient_maxdet,589,621,0.014264924164683501,-0.019441142162841332
6101,gradient_maxdet,621,653,-0.02939510418963609,0.039297521120841776
6101,hybrid,397,429,-0.10198288833878544,0.11547599824058477
6101,hybrid,429,461,-0.01944140453137344,0.0248875664366584
6101,hybrid,461,493,-0.001891786017811925,0.002483545451706421
6101,hybrid,493,525,-0.05569541649762455,0.07329924290100566
6101,hybrid,525,557,-0.0007083821219716624,0.0010060234569272638
6101,hybrid,557,589,-0.07513158189978542,0.10680711354295191
6101,hybrid,589,621,-0.02357342715336741,0.037519333555057995
6101,hybrid,621,653,-0.06855067463483033,0.11335798265463308
6101,kernel_ivr,397,429,0.0160544144380107,-0.02084568884002322
6101,kernel_ivr,429,461,0.006295519974272579,-0.008007432530954952
6101,kernel_ivr,461,493,-0.06901271079672588,0.0870817271653372
6101,kernel_ivr,493,525,-0.039413005419160485,0.05447604884330565
6101,kernel_ivr,525,557,0.07573141933866501,-0.11070560493677611
6101,kernel_ivr,557,589,-0.049303541295740105,0.06488923644793326
6101,kernel_ivr,589,621,0.007091870907171005,-0.009981419654290682
6101,kernel_ivr,621,653,0.0052735185353095515,-0.007348836518681987
6101,lcmd,397,429,-0.07539305533391738,0.07983875704103595
6101,lcmd,429,461,-0.06196835294600511,0.07131624031552666
6101,lcmd,461,493,-0.030318242054624522,0.03757116411706731
6101,lcmd,493,525,0.017569028227851335,-0.022621934968180973
6101,lcmd,525,557,-0.12114588700366247,0.15253713288910625
6101,lcmd,557,589,-0.07191611716368207,0.1068494911465202
6101,lcmd,589,621,-0.016696545594792722,0.027774625046933833
6101,lcmd,621,653,-0.01775307715594099,0.03037583783472733
