column,protocol,method,reference,endpoint,gain_percent,wins,median_delta,material,stronger_10pct
40g,row,source_anchored_shallow,scale_only,aulc,-60.06499949033186,0,2.1024539668059496,False,False
40g,row,source_anchored_shallow,local_identity_shrinkage,aulc,-77.04698510597159,0,2.3486175427388085,False,False
40g,row,source_anchored_shallow,conditional_EA,aulc,-88.3208241137333,0,2.5762715234874283,False,False
40g,row,source_anchored_shallow,conditional_policy,aulc,-86.30758595331784,0,2.5762715234874283,False,False
40g,row,source_anchored_shallow,standard_shallow_finetune,aulc,-67.20517375331939,0,2.232407010504428,False,False
40g,row,source_anchored_full,scale_only,aulc,-141.7478859032179,0,4.912702793254379,False,False
40g,row,source_anchored_full,local_identity_shrinkage,aulc,-167.3959609607993,0,5.019684869025712,False,False
40g,row,source_anchored_full,conditional_EA,aulc,-184.42296095966068,0,5.130871267864883,False,False
40g,row,source_anchored_full,conditional_policy,aulc,-181.3823457680209,0,5.130871267864883,False,False
40g,row,source_anchored_full,standard_full_finetune,aulc,-63.54963074557922,0,3.5426423403242877,False,False
8g,compound,standard_shallow_finetune,scale_only,aulc,-12.01033935928324,1,0.1340787982724737,False,False
8g,compound,standard_shallow_finetune,local_identity_shrinkage,aulc,-13.045338359066468,1,0.171241065471312,False,False
8g,compound,standard_shallow_finetune,conditional_EA,aulc,-9.41754311901923,1,0.1490773221729735,False,False
8g,compound,standard_shallow_finetune,conditional_policy,aulc,-9.34052551791564,1,0.1446709002563874,False,False
8g,compound,standard_full_finetune,scale_only,aulc,-90.36344265566052,0,0.7951598561617039,False,False
8g,compound,standard_full_finetune,local_identity_shrinkage,aulc,-92.12244074343457,0,0.7345775486128305,False,False
8g,compound,standard_full_finetune,conditional_EA,aulc,-85.95694213772059,0,0.7188024284881419,False,False
8g,compound,standard_full_finetune,conditional_policy,aulc,-85.82604943821602,0,0.7174019634671047,False,False
8g,compound,source_anchored_shallow,scale_only,aulc,-38.16871786175622,1,0.3742219407285566,False,False
8g,compound,source_anchored_shallow,local_identity_shrinkage,aulc,-39.445425758600884,0,0.3445689159621676,False,False
8g,compound,source_anchored_shallow,conditional_EA,aulc,-34.970411935327725,1,0.328793795837479,False,False
8g,compound,source_anchored_shallow,conditional_policy,aulc,-34.875407998564924,1,0.3273933308164418,False,False
8g,compound,source_anchored_shallow,standard_shallow_finetune,aulc,-23.35353919299148,0,0.1455532153493242,False,False
8g,compound,source_anchored_full,scale_only,aulc,-91.15599284944803,0,0.6718279146891238,False,False
8g,compound,source_anchored_full,local_identity_shrinkage,aulc,-92.92231426703732,0,0.6696452328922518,False,False
8g,compound,source_anchored_full,conditional_EA,aulc,-86.73114651473412,0,0.6835351924174444,False,False
8g,compound,source_anchored_full,conditional_policy,aulc,-86.59970886272758,0,0.6765146334237037,False,False
8g,compound,source_anchored_full,standard_full_finetune,aulc,-0.41633529144622,3,-0.0214019221597228,False,False
8g,row,standard_shallow_finetune,scale_only,aulc,0.62997766486969,1,0.0110450781102617,False,False
8g,row,standard_shallow_finetune,local_identity_shrinkage,aulc,3.86653495146442,4,-0.0491333113697552,False,False
8g,row,standard_shallow_finetune,conditional_EA,aulc,3.95635749394447,3,-0.0545006394893813,False,False
8g,row,standard_shallow_finetune,conditional_policy,aulc,3.70358543304881,4,-0.0545006394893813,False,False
8g,row,standard_full_finetune,scale_only,aulc,-72.1547572278473,0,0.5736567224074232,False,False
8g,row,standard_full_finetune,local_identity_shrinkage,aulc,-66.54754570837527,0,0.5236392910992116,False,False
8g,row,standard_full_finetune,conditional_EA,aulc,-66.39193159427062,0,0.5182719629795856,False,False
8g,row,standard_full_finetune,conditional_policy,aulc,-66.82984950708655,0,0.5182719629795856,False,False
8g,row,source_anchored_shallow,scale_only,aulc,-26.46000155330645,1,0.2236283690317053,False,False
8g,row,source_anchored_shallow,local_identity_shrinkage,aulc,-22.34110301759144,1,0.1736109377234937,False,False
8g,row,source_anchored_shallow,conditional_EA,aulc,-22.22679330330719,1,0.1682436096038677,False,False
8g,row,source_anchored_shallow,conditional_policy,aulc,-22.54847538068152,1,0.1729578432782806,False,False
8g,row,source_anchored_shallow,standard_shallow_finetune,aulc,-27.2617219776945,0,0.2197257497055853,False,False
8g,row,source_anchored_full,scale_only,aulc,-65.40009198281899,0,0.4049752014516703,False,False
8g,row,source_anchored_full,local_identity_shrinkage,aulc,-60.012885053298405,0,0.3758622205764629,False,False
8g,row,source_anchored_full,conditional_EA,aulc,-59.86337661565082,0,0.4077523166432781,False,False
