column,protocol,method,reference,source_drift_wins,target_aulc_std,reference_aulc_std,mean_aulc_delta,stability_gate,calibration_lower_mean_aulc
8g,row,source_anchored_shallow,standard_shallow_finetune,5,0.11579538989124641,0.10268619568546312,0.19766330703141538,False,True
8g,compound,source_anchored_shallow,standard_shallow_finetune,5,0.07311257485204814,0.10904469725623153,0.19223522508758117,False,True
25g,row,source_anchored_shallow,standard_shallow_finetune,5,0.3428410039747694,0.46137058899333966,0.8224519613483808,False,True
25g,compound,source_anchored_shallow,standard_shallow_finetune,5,0.62250156214761,0.34070082709667365,1.229468225275403,False,True
40g,row,source_anchored_shallow,standard_shallow_finetune,5,1.0999165184374582,0.529862718337381,2.3385036598789593,False,True
40g,compound,source_anchored_shallow,standard_shallow_finetune,5,0.6742681788816456,0.3838190605579738,2.252291196127794,False,True
8g,row,source_anchored_full,standard_full_finetune,5,0.22966096359042204,0.22365435481789034,-0.04928573253857009,False,True
8g,compound,source_anchored_full,standard_full_finetune,5,0.2151955395319981,0.11489994403599409,0.005824369613794645,False,True
25g,row,source_anchored_full,standard_full_finetune,5,0.6587582562989526,0.6800531846057627,1.569979248732415,False,True
25g,compound,source_anchored_full,standard_full_finetune,5,0.8651273542661772,0.8153236328042214,1.2304532892065225,False,True
40g,row,source_anchored_full,standard_full_finetune,5,1.3701699261744698,0.7037598864601806,3.4144033821054705,False,True
40g,compound,source_anchored_full,standard_full_finetune,5,0.46322617880933165,2.0762568564160198,1.8817410413844677,False,True
