column,protocol,seed,budget,actual_budget,method,before_V1_r2,before_V1_rmse,before_V1_mae,before_V2_r2,before_V2_rmse,before_V2_mae,before_combined_normalized_rmse,before_all_outputs_finite,before_normalized_rmse,after_V1_r2,after_V1_rmse,after_V1_mae,after_V2_r2,after_V2_rmse,after_V2_mae,after_combined_normalized_rmse,after_all_outputs_finite,after_normalized_rmse,delta_V1_r2,delta_V1_rmse,delta_V1_mae,delta_V2_r2,delta_V2_rmse,delta_V2_mae,delta_normalized_rmse,delta_combined_normalized_rmse,source_combined_nrmse_drift,backbone_l2_drift,condition_branch_l2_drift,target_head_l2_drift,source_head_l2_drift
8g,row,769539383,30,30,standard_shallow_finetune,0.8656350283670873,2.4895492698065604,1.3811172226762818,0.9354645949502125,3.805423982193944,2.1920369963141026,0.27915258257978975,True,0.2763267105400644,0.1099990821753678,6.407268453111591,5.096121389903846,0.13843726050644556,13.904247347054344,10.335329744391025,0.8394087607995386,True,0.8390100272638901,-0.7556359461917195,3.9177191833050307,3.7150041672275647,-0.7970273344437669,10.0988233648604,8.143292748076922,0.5626833167238257,0.5602561782197488,0.5602561782197488,0.8032617019302241,0.1978379596065297,0.13063703685352174,0.0
8g,row,769539383,30,30,standard_full_finetune,0.8656350283670873,2.4895492698065604,1.3811172226762818,0.9354645949502125,3.805423982193944,2.1920369963141026,0.27915258257978975,True,0.2763267105400644,-1.5420025229367798,10.828434700169357,5.234257004407051,-1.3544349502021502,22.9851519282057,9.778211595913463,1.402255456516953,True,1.4019807614025672,-2.407637551303867,8.338885430362797,3.8531397817307695,-2.2898995451523625,19.179727946011756,7.58617459959936,1.1256540508625028,1.1231028739371631,1.1231028739371631,1.880545781771008,0.2429666006146258,0.15308126544848333,0.0
8g,row,769539383,30,30,source_anchored_shallow,0.8656350283670873,2.4895492698065604,1.3811172226762818,0.9354645949502125,3.805423982193944,2.1920369963141026,0.27915258257978975,True,0.2763267105400644,0.6568553917045108,3.978471789922296,2.6948157168269233,0.6927413245439334,8.303402830274171,5.187105373878205,0.5107313412356129,True,0.5106984703891904,-0.20877963666257648,1.4889225201157354,1.3136984941506415,-0.24272327040627906,4.497978848080227,2.995068377564102,0.23437175984912595,0.23157875865582317,0.23157875865582317,1.225052411190063,0.22197249955820955,0.23587647255971764,0.0
8g,row,769539383,30,30,source_anchored_full,0.8656350283670873,2.4895492698065604,1.3811172226762818,0.9354645949502125,3.805423982193944,2.1920369963141026,0.27915258257978975,True,0.2763267105400644,0.005717310403008047,6.772244552051797,4.389180210817308,0.13033633555099555,13.969462406875863,8.86046968798077,0.8642106743277708,True,0.8641976830104441,-0.8599177179640792,4.282695282245236,3.0080629881410266,-0.805128259399217,10.16403842468192,6.668432691666666,0.5878709724703797,0.5850580917479811,0.5850580917479811,1.5985990567357873,0.19715596779639882,0.14199450214522188,0.0
8g,row,769539383,50,50,standard_shallow_finetune,0.8656350283670873,2.4895492698065604,1.3811172226762818,0.9354645949502125,3.805423982193944,2.1920369963141026,0.27915258257978975,True,0.2763267105400644,0.03284947808244865,6.679204313788266,5.0411756415865385,0.1445562161011814,13.854784278957595,9.760364467548076,0.8547565103776936,True,0.8547272227483329,-0.8327855502846386,4.1896550439817055,3.660058418910257,-0.7909083788490311,10.049360296763652,7.568327471233973,0.5784005122082685,0.5756039277979039,0.5756039277979039,0.7059049378887333,0.17492906015500004,0.11611347603161973,0.0
8g,row,769539383,50,50,standard_full_finetune,0.8656350283670873,2.4895492698065604,1.3811172226762818,0.9354645949502125,3.805423982193944,2.1920369963141026,0.27915258257978975,True,0.2763267105400644,-0.7809948889013989,9.063773201402709,4.962613316426281,-0.5391183631377443,18.584036107519864,9.338855286458333,1.1531282020239308,True,1.1531246803669115,-1.6466299172684862,6.574223931596149,3.5814960937499993,-1.4745829580879568,14.778612125325921,7.14681829014423,0.8767979698268471,0.873975619444141,0.873975619444141,0.3702104372724077,0.031661246171512364,0.019082104575052713,0.0
8g,row,769539383,50,50,source_anchored_shallow,0.8656350283670873,2.4895492698065604,1.3811172226762818,0.9354645949502125,3.805423982193944,2.1920369963141026,0.27915258257978975,True,0.2763267105400644,0.5461640472358265,4.57537971164705,2.9134025214743584,0.710624239483894,8.058145513618312,4.7592820979967945,0.5424027175777351,True,0.5409471613294269,-0.3194709811312608,2.085830441840489,1.5322852987980766,-0.22484035546631853,4.252721531424368,2.567245101682692,0.26462045078936247,0.2632501349979453,0.2632501349979453,1.136913663912858,0.18483323678103256,0.20409557839145762,0.0
8g,row,769539383,50,50,source_anchored_full,0.8656350283670873,2.4895492698065604,1.3811172226762818,0.9354645949502125,3.805423982193944,2.1920369963141026,0.27915258257978975,True,0.2763267105400644,0.6830368316291306,3.823684873615954,2.176202320753205,0.8605785639824317,5.593308924091421,3.2326733868589743,0.42221112722635706,True,0.41658915537527863,-0.18259819673795663,1.3341356038093934,0.7950850980769231,-0.07488603096778079,1.7878849418974765,1.0406363905448717,0.14026244483521422,0.1430585446465673,0.1430585446465673,2.4077201680649587,0.248053292386513,0.2143536188433317,0.0
8g,row,769539383,70,70,standard_shallow_finetune,0.8656350283670873,2.4895492698065604,1.3811172226762818,0.9354645949502125,3.805423982193944,2.1920369963141026,0.27915258257978975,True,0.2763267105400644,-0.000365153796412665,6.79292736697594,5.084023156490384,0.1323974757383799,13.952898474196665,9.911854375,0.8649998399692946,True,0.8649949416691107,-0.8660001821634999,4.30337809716938,3.702905933814103,-0.8030671192118326,10.147474492002722,7.719817378685898,0.5886682311290463,0.5858472573895048,0.5858472573895048,0.6795562952133624,0.17070985233060149,0.11280966403209833,0.0
8g,row,769539383,70,70,standard_full_finetune,0.8656350283670873,2.4895492698065604,1.3811172226762818,0.9354645949502125,3.805423982193944,2.1920369963141026,0.27915258257978975,True,0.2763267105400644,-1.0830396752254976,9.802265563158853,4.94872319375,-0.8414786864604256,20.32765957566464,9.968378964342948,1.2542559023742224,True,1.2542142793916458,-1.9486747035925849,7.312716293352293,3.5676059710737187,-1.776943281410638,16.522235593470697,7.776341968028845,0.9778875688515813,0.9751033197944325,0.9751033197944325,0.618551111427593,0.05876853751763511,0.035692324026121526,0.0
8g,row,769539383,70,70,source_anchored_shallow,0.8656350283670873,2.4895492698065604,1.3811172226762818,0.9354645949502125,3.805423982193944,2.1920369963141026,0.27915258257978975,True,0.2763267105400644,0.7618542726219779,3.3143555080383407,2.112753381426282,0.8551157668805309,5.701834322462147,3.9829523929487176,0.3890452898737516,True,0.3876451824173793,-0.10378075574510937,0.8248062382317802,0.7316361587500004,-0.08034882806968158,1.8964103402682024,1.790915396634615,0.11131847187731486,0.10989270729396183,0.10989270729396183,3.216390237868584,0.7038315808958204,0.583263506468904,0.0
8g,row,769539383,70,70,source_anchored_full,0.8656350283670873,2.4895492698065604,1.3811172226762818,0.9354645949502125,3.805423982193944,2.1920369963141026,0.27915258257978975,True,0.2763267105400644,0.7834157573076441,3.1607570968266008,1.9567631614583334,0.8776110466267845,5.240529151231442,3.2559342701923075,0.365488342576439,True,0.36355148802936715,-0.08221927105944316,0.6712078270200403,0.5756459387820516,-0.05785354832342804,1.4351051690374979,1.0638972738782049,0.08722477748930274,0.08633575999664922,0.08633575999664922,3.541201067208622,0.24799313085690294,0.21946323792219202,0.0
8g,row,769539383,100,100,standard_shallow_finetune,0.8656350283670873,2.4895492698065604,1.3811172226762818,0.9354645949502125,3.805423982193944,2.1920369963141026,0.27915258257978975,True,0.2763267105400644,-0.21289156602135528,7.479777537872855,5.526165308092948,0.13213471772983132,13.95501116876091,9.990755054487177,0.9095513033953204,True,0.9086443986631041,-1.0785265943884426,4.990228268066295,4.145048085416667,-0.8033298772203812,10.149587186566965,7.798718058173074,0.6323176881230397,0.6303987208155306,0.6303987208155306,0.6845961420564801,0.17339751561630434,0.11389964484493831,0.0
8g,row,769539383,100,100,standard_full_finetune,0.8656350283670873,2.4895492698065604,1.3811172226762818,0.9354645949502125,3.805423982193944,2.1920369963141026,0.27915258257978975,True,0.2763267105400644,-1.2044732540848013,10.083936688638126,5.28513734863782,-0.59833182381135,18.93814790534077,9.845011553044872,1.2299244773903064,True,1.2288719967500796,-2.070108282451889,7.594387418831565,3.904020125961538,-1.5337964187615625,15.132723923146827,7.6529745567307685,0.9525452862100152,0.9507718948105166,0.9507718948105166,0.5045230579337198,0.045215079181694144,0.027490036424430757,0.0
8g,row,769539383,100,100,source_anchored_shallow,0.8656350283670873,2.4895492698065604,1.3811172226762818,0.9354645949502125,3.805423982193944,2.1920369963141026,0.27915258257978975,True,0.2763267105400644,0.7798917495447039,3.186367429742003,2.003046410496795,0.8756157316572817,5.283074787939172,3.596390283974359,0.3684520696497716,True,0.36649980316442443,-0.08574327882238342,0.6968181599354426,0.6219291878205133,-0.05984886329293082,1.4776508057452276,1.4043532876602565,0.09017309262436002,0.08929948706998186,0.08929948706998186,3.363172673586864,0.7514479837207377,0.5740029181818638,0.0
8g,row,769539383,100,100,source_anchored_full,0.8656350283670873,2.4895492698065604,1.3811172226762818,0.9354645949502125,3.805423982193944,2.1920369963141026,0.27915258257978975,True,0.2763267105400644,0.24172453482892176,5.91413447639762,3.4845126422275636,0.5566750849543136,9.973902087229012,6.156505151923077,0.6885618887250979,True,0.685479684038371,-0.6239104935381655,3.4245852065910594,2.1033954195512816,-0.3787895099958989,6.168478105035068,3.9644681556089743,0.4091529734983066,0.4094093061453082,0.4094093061453082,4.790546228485403,0.24193891254847055,0.21897724336765248,0.0
