column,protocol,method,V1_macro_compound_mae,V1_macro_compound_rmse,V1_median_relative_absolute_error,V2_macro_compound_mae,V2_macro_compound_rmse,V2_median_relative_absolute_error
25g,compound,conditional_EA,8.604836135350045,11.620616609122838,0.18556884534020074,13.893174067793016,17.81615011769204,0.18813548868847435
25g,compound,conditional_policy,8.669812723824673,11.700720696940946,0.19140711381000353,13.87720736079542,17.781704753031374,0.1866640547041713
25g,compound,local_identity_shrinkage,9.272827922129622,12.378091516982266,0.20394937803276925,13.618243961851416,17.742078184992142,0.17028280403068136
25g,compound,scale_only,10.496352670331218,13.288851204799808,0.2684655910796976,15.332623227554688,19.102542450041593,0.25535157098361416
25g,compound,source_anchored_full,28.244673379907113,35.42034376965471,0.5944719600656099,46.186590328162595,57.172541394562664,0.585127026878377
25g,compound,source_anchored_shallow,19.39693994829848,25.442800312549316,0.3681835245483416,31.085129280581924,40.16718838848571,0.35109855260591283
25g,compound,standard_full_finetune,18.811399923666198,24.160535982516087,0.4286708391760808,28.795153473157107,36.533548407130525,0.36314158287391163
25g,compound,standard_shallow_finetune,13.304911195296835,17.576241583086368,0.2754888799218028,18.273388285593672,23.548175474595883,0.22400406756280736
25g,compound,target_head_only,16.28303480615758,22.39155343465422,0.2736179465433633,32.56169713788769,42.29279039109518,0.3657153076956437
25g,row,conditional_EA,9.82571093365999,10.663564743352463,0.15975191979566858,15.58055368243871,16.778802194232235,0.18608747996840552
25g,row,conditional_policy,10.047115653183457,10.877185477879422,0.16660749066927819,15.836273274838106,17.05052531981267,0.18174209299134395
25g,row,local_identity_shrinkage,10.791615867177848,11.627404892557326,0.19055195375734346,15.790541180886345,16.98823694443626,0.1773810314844918
25g,row,scale_only,11.572557335640555,12.367389518240353,0.22471717263246957,16.72306510185218,17.886002564990093,0.2096781099343688
25g,row,source_anchored_full,30.237498451501914,31.842430246999946,0.6458252360226588,47.83683030748277,50.2735604089719,0.6170900621774196
25g,row,source_anchored_shallow,15.360025022565926,16.57899091622602,0.2885534216285057,24.815691544030056,26.49046518170196,0.26839066629577335
25g,row,standard_full_finetune,16.575426445220785,17.749313814106504,0.3239326978623658,23.136796172416474,24.75483538073122,0.2777155028987906
25g,row,standard_shallow_finetune,10.761900211461823,11.596788284467559,0.17926364114876492,15.565258586230755,16.66421644822917,0.16488965466558722
25g,row,target_head_only,17.41965252790514,18.778362777442116,0.2880106616412721,33.3617115773116,35.55985236573997,0.3764894501249957
40g,compound,conditional_EA,19.021632415667618,25.892250819452908,0.22904610026075453,29.15008719224852,37.258499066110794,0.2374948399304123
40g,compound,conditional_policy,20.482867210302224,27.807988920510706,0.2401025013858217,23.937805096445835,31.52179620921995,0.18430423693709636
40g,compound,local_identity_shrinkage,20.482867215129716,27.807988917111242,0.2401025011836512,23.937805131581523,31.52179623097137,0.18430423647638516
40g,compound,scale_only,24.671841753242575,30.525004125407737,0.36680245769993675,29.20996588473734,36.57133791301841,0.2821342152497218
40g,compound,source_anchored_full,62.306283008244044,79.04506821836881,0.762100388441153,88.95451360303572,111.02550502752993,0.7412508068461712
40g,compound,source_anchored_shallow,33.101631540595235,46.3321410067562,0.3532332929144619,46.61297181502976,64.04109546027946,0.3312244830612451
40g,compound,standard_full_finetune,44.04195812717262,55.67564530579911,0.49622819945911295,60.59026548752977,75.73377087874381,0.4772441223159669
40g,compound,standard_shallow_finetune,22.657881098869048,29.9411154266935,0.2337693924878314,29.701614995773802,39.1088694613577,0.2037271283486916
40g,compound,target_head_only,48.81403395583333,63.87975552185112,0.5691394288148082,74.4104542310119,93.63265554104264,0.6078218193414593
40g,row,conditional_EA,17.604734376995754,19.179381037964482,0.19712297150947233,21.28081372554282,23.058266571767042,0.15411188214786253
40g,row,conditional_policy,18.36239688385952,19.913788943704436,0.2122045141728554,21.27733031280714,23.046935147376587,0.15595071474512834
40g,row,local_identity_shrinkage,20.33046972907135,21.933261750972303,0.25155781306243596,21.306902067979447,23.187488282757684,0.1477189289079136
40g,row,scale_only,25.326416916891,26.843424036872527,0.39526898854433556,29.287348002400712,31.116338104669484,0.28873367341707123
40g,row,source_anchored_full,55.73568995434764,59.38061630000384,0.7394628172426906,80.40128344983412,84.87549293216144,0.726101322089113
40g,row,source_anchored_shallow,30.07125767396633,32.83927686355349,0.35362488496888184,42.8388284313663,46.19765847607946,0.34779531656845236
40g,row,standard_full_finetune,31.57687056540078,33.46865047128848,0.5271807352414893,43.88957454369484,46.31317861356639,0.4877757487741867
40g,row,standard_shallow_finetune,17.846841168665737,19.602052449995647,0.20123042145921,22.559216013672966,24.727779335064998,0.16101299736763122
40g,row,target_head_only,45.6992646432697,49.444174634498594,0.5664051902041549,70.48123453472567,74.97917592244123,0.6048109343780557
8g,compound,conditional_EA,3.3195251684737146,4.613631274219804,0.1170967887079984,4.998549449659863,6.615169668517349,0.11643005371105453
8g,compound,conditional_policy,3.479558182211521,4.728426583856819,0.13789794283174844,4.803384540132685,6.477481653205231,0.10968024746059324
