column,protocol,method,target,dimension,level,mean_rows,nonempty_seeds,rmse,mae,median_absolute_error
25g,compound,local_identity_shrinkage,V1,EA,high,16.8,5,8.612034177788388,7.295536409859954,6.688379224562345
25g,compound,local_identity_shrinkage,V1,EA,low,37.2,5,18.737084630934675,12.231530408034226,6.502774077117697
25g,compound,local_identity_shrinkage,V1,EA,mid,48.4,5,9.765973909528977,6.8042180175235885,5.2421890366125385
25g,compound,local_identity_shrinkage,V1,source_q50,high,36.4,5,20.224743996989904,14.324405386518066,8.608405061357264
25g,compound,local_identity_shrinkage,V1,source_q50,low,33.6,5,4.7223575763648995,3.705949010787844,3.2386364948309576
25g,compound,local_identity_shrinkage,V1,source_q50,mid,32.4,5,10.058399988209695,7.375722381035848,5.702597136654416
25g,compound,local_identity_shrinkage,V1,source_q50,top10,11.2,5,29.48989771579188,23.537533434667573,20.597065971625167
25g,compound,local_identity_shrinkage,V1,target_magnitude,high,33.8,5,21.51161440224403,15.365408222698488,9.8478222661162
25g,compound,local_identity_shrinkage,V1,target_magnitude,low,34.0,5,7.828078709336429,6.444911462430296,5.7136369199417425
25g,compound,local_identity_shrinkage,V1,target_magnitude,mid,34.6,5,7.390889727641257,5.015814287977332,3.8688749781809704
25g,compound,local_identity_shrinkage,V1,target_magnitude,top10,10.8,5,31.403297034896518,26.14208160693962,24.064170125431687
25g,compound,local_identity_shrinkage,V2,EA,high,16.8,5,10.058418705395392,6.993740100494202,4.374073795861336
25g,compound,local_identity_shrinkage,V2,EA,low,37.2,5,26.451383710929825,17.941033365006444,11.385749143822508
25g,compound,local_identity_shrinkage,V2,EA,mid,48.4,5,14.854177978698578,10.021939794410589,6.783200069525671
25g,compound,local_identity_shrinkage,V2,source_q50,high,31.8,5,31.881320878234327,23.200047934562175,16.982682484027983
25g,compound,local_identity_shrinkage,V2,source_q50,low,32.4,5,7.0673239157997045,5.386258875745372,4.669474318392387
25g,compound,local_identity_shrinkage,V2,source_q50,mid,38.2,5,10.761881943344637,9.005830020059223,8.894472802574212
25g,compound,local_identity_shrinkage,V2,source_q50,top10,10.8,5,43.29940285352636,34.14555290830317,28.12258826471242
25g,compound,local_identity_shrinkage,V2,target_magnitude,high,33.8,5,30.850146476317242,21.769673698935993,13.81863164974755
25g,compound,local_identity_shrinkage,V2,target_magnitude,low,34.0,5,7.699212461096115,6.202847006599307,5.458834854772765
25g,compound,local_identity_shrinkage,V2,target_magnitude,mid,34.6,5,11.886150042483115,9.5827348411929,8.862365247625096
25g,compound,local_identity_shrinkage,V2,target_magnitude,top10,10.8,5,47.775433864094786,39.716301775710534,38.37504848684349
25g,compound,scale_only,V1,EA,high,16.8,5,11.892944611603937,10.924938459498113,10.74606093422129
25g,compound,scale_only,V1,EA,low,37.2,5,19.236627569205613,12.57083337585129,6.752412478204893
25g,compound,scale_only,V1,EA,mid,48.4,5,10.167321084290597,8.267722736484055,7.383597818456074
25g,compound,scale_only,V1,source_q50,high,36.4,5,20.65007626136525,14.43981401049326,9.211915693368546
25g,compound,scale_only,V1,source_q50,low,33.6,5,6.814779235688173,6.059627087269296,5.831488816226754
25g,compound,scale_only,V1,source_q50,mid,32.4,5,11.267720406061233,9.417672544517268,9.121249706146596
25g,compound,scale_only,V1,source_q50,top10,11.2,5,30.07794041139395,23.23596550859316,19.492198801223278
25g,compound,scale_only,V1,target_magnitude,high,33.8,5,21.15261694490329,14.459647164526341,7.5804636857362295
25g,compound,scale_only,V1,target_magnitude,low,34.0,5,10.74598364645003,9.685095759128796,9.224285911807154
25g,compound,scale_only,V1,target_magnitude,mid,34.6,5,8.891180922550571,6.9133658666206985,5.873916433196667
25g,compound,scale_only,V1,target_magnitude,top10,10.8,5,32.16474541512685,26.169159215356423,22.154732179018783
25g,compound,scale_only,V2,EA,high,16.8,5,13.97256224728397,11.733909732827541,10.08948156183206
25g,compound,scale_only,V2,EA,low,37.2,5,28.75295694916686,20.560143672372956,15.854787546465113
25g,compound,scale_only,V2,EA,mid,48.4,5,14.829392436140788,11.673937715509172,10.769147158607792
25g,compound,scale_only,V2,source_q50,high,31.8,5,32.120805245122206,23.460972555500796,17.881206376375058
25g,compound,scale_only,V2,source_q50,low,32.4,5,9.46369720168486,8.187937391326514,7.580117553504195
25g,compound,scale_only,V2,source_q50,mid,38.2,5,14.932068550432877,13.190531415963523,14.26577630529324
25g,compound,scale_only,V2,source_q50,top10,10.8,5,43.01160901599893,34.2067013501863,26.3345550559632
25g,compound,scale_only,V2,target_magnitude,high,33.8,5,30.92022318697463,21.650241168051867,14.875602382895064
25g,compound,scale_only,V2,target_magnitude,low,34.0,5,12.920471322739477,11.502504751510049,10.99910187364722
25g,compound,scale_only,V2,target_magnitude,mid,34.6,5,14.32794248102891,11.926071187262373,11.559018388370536
25g,compound,scale_only,V2,target_magnitude,top10,10.8,5,48.332034097890805,41.43049712213283,40.058627506737764
25g,compound,source_anchored_full,V1,EA,high,16.8,5,10.48637547804805,10.003700763150032,9.56719048
25g,compound,source_anchored_full,V1,EA,low,37.2,5,52.43600006253629,38.87687851110904,25.7532923
25g,compound,source_anchored_full,V1,EA,mid,48.4,5,30.401039047832086,20.874596317976984,13.286132140000001
25g,compound,source_anchored_full,V1,source_q50,high,36.4,5,61.00999474218861,47.63970263034999,34.5793143
25g,compound,source_anchored_full,V1,source_q50,low,33.6,5,11.969363150278253,11.472317567149345,11.0456756
25g,compound,source_anchored_full,V1,source_q50,mid,32.4,5,17.676837302068463,15.359764425608725,13.01221778
25g,compound,source_anchored_full,V1,source_q50,top10,11.2,5,97.79514255015043,88.75392024087913,73.6651251
25g,compound,source_anchored_full,V1,target_magnitude,high,33.8,5,64.42271693344263,53.17825073428692,38.9776315
25g,compound,source_anchored_full,V1,target_magnitude,low,34.0,5,10.006972118598826,9.759224071522912,10.2443299
25g,compound,source_anchored_full,V1,target_magnitude,mid,34.6,5,15.329327992380508,14.83468552050515,14.44907709
25g,compound,source_anchored_full,V1,target_magnitude,top10,10.8,5,101.7258044098912,94.93116288131311,87.92747890000001
25g,compound,source_anchored_full,V2,EA,high,16.8,5,19.346849439454655,17.32151958363654,14.40270476
25g,compound,source_anchored_full,V2,EA,low,37.2,5,82.82445112396344,62.988858910839426,46.2352259
25g,compound,source_anchored_full,V2,EA,mid,48.4,5,48.97893477709589,33.476819150374936,21.195464299999998
25g,compound,source_anchored_full,V2,source_q50,high,31.8,5,103.3892633336532,85.09408152180717,65.11533870000001
25g,compound,source_anchored_full,V2,source_q50,low,32.4,5,18.085822625064925,17.175448805982832,16.298016699999998
25g,compound,source_anchored_full,V2,source_q50,mid,38.2,5,27.002634749178526,25.003081132681576,22.769621
25g,compound,source_anchored_full,V2,source_q50,top10,10.8,5,156.52173882716863,143.98010221849484,128.145635
25g,compound,source_anchored_full,V2,target_magnitude,high,33.8,5,102.09273660048407,85.14484904567878,61.5287906
25g,compound,source_anchored_full,V2,target_magnitude,low,34.0,5,16.025117220842393,15.64399416568421,15.789144599999997
25g,compound,source_anchored_full,V2,target_magnitude,mid,34.6,5,25.892124811654604,25.20657409123921,25.104692300000004
25g,compound,source_anchored_full,V2,target_magnitude,top10,10.8,5,160.6559542098592,150.68540017979797,143.20001259999998
25g,compound,source_anchored_shallow,V1,EA,high,16.8,5,7.285865293031515,6.453369712639073,6.0189003
25g,compound,source_anchored_shallow,V1,EA,low,37.2,5,36.43155709188598,26.245903821202308,18.580033280000002
25g,compound,source_anchored_shallow,V1,EA,mid,48.4,5,22.59109282965067,13.761077674076699,8.6312282
25g,compound,source_anchored_shallow,V1,source_q50,high,36.4,5,43.929176282040956,32.61555806490617,23.2158635
25g,compound,source_anchored_shallow,V1,source_q50,low,33.6,5,8.547323175728305,7.419828668702122,6.893421550000001
25g,compound,source_anchored_shallow,V1,source_q50,mid,32.4,5,11.539789593992131,9.216436770449551,8.2593418
25g,compound,source_anchored_shallow,V1,source_q50,top10,11.2,5,70.90163948906623,63.17191073010989,53.7739921
25g,compound,source_anchored_shallow,V1,target_magnitude,high,33.8,5,46.084900900897786,35.761027050880806,26.631896200000007
25g,compound,source_anchored_shallow,V1,target_magnitude,low,34.0,5,7.351263047775861,6.04115194279734,5.532488500000001
25g,compound,source_anchored_shallow,V1,target_magnitude,mid,34.6,5,11.921396697757432,10.13821149028154,9.167568200000002
25g,compound,source_anchored_shallow,V1,target_magnitude,top10,10.8,5,74.14210696595522,67.8273348459596,61.2279955
25g,compound,source_anchored_shallow,V2,EA,high,16.8,5,13.945439345552312,11.966360366569608,11.2507292
25g,compound,source_anchored_shallow,V2,EA,low,37.2,5,55.84630813686236,39.669043448101505,26.8635011
25g,compound,source_anchored_shallow,V2,EA,mid,48.4,5,37.977267596092545,22.627123726385474,14.036164100000002
25g,compound,source_anchored_shallow,V2,source_q50,high,31.8,5,74.28817603688076,55.61775124234381,38.1529453
25g,compound,source_anchored_shallow,V2,source_q50,low,32.4,5,14.530595038159168,12.420087254153389,11.715043600000001
25g,compound,source_anchored_shallow,V2,source_q50,mid,38.2,5,18.018654326886075,14.743170528911008,12.321874600000001
25g,compound,source_anchored_shallow,V2,source_q50,top10,10.8,5,114.07902310443005,100.60037189146188,86.8018774
25g,compound,source_anchored_shallow,V2,target_magnitude,high,33.8,5,73.41629048648242,55.764312440746224,38.565444400000004
25g,compound,source_anchored_shallow,V2,target_magnitude,low,34.0,5,12.076156037435268,10.450855554393666,9.9954212
25g,compound,source_anchored_shallow,V2,target_magnitude,mid,34.6,5,18.522618063056942,16.022796133098332,15.657921399999998
25g,compound,source_anchored_shallow,V2,target_magnitude,top10,10.8,5,118.99275506375527,108.87761117777777,101.0806108
25g,compound,standard_full_finetune,V1,EA,high,16.8,5,8.378491206402105,7.636839603171532,7.419478950000001
25g,compound,standard_full_finetune,V1,EA,low,37.2,5,34.72797811209203,25.061490799122744,17.297782400000003
25g,compound,standard_full_finetune,V1,EA,mid,48.4,5,21.952233554573098,14.276228843311292,9.1334701
25g,compound,standard_full_finetune,V1,source_q50,high,36.4,5,41.37242359084138,30.98199297131962,24.420050200000002
25g,compound,standard_full_finetune,V1,source_q50,low,33.6,5,9.520971267663068,8.293794236842905,8.16149007
25g,compound,standard_full_finetune,V1,source_q50,mid,32.4,5,13.262083339678759,10.388242775092243,8.655961000000001
25g,compound,standard_full_finetune,V1,source_q50,top10,11.2,5,59.44696506659219,48.687085610989016,37.508666399999996
25g,compound,standard_full_finetune,V1,target_magnitude,high,33.8,5,41.99253814218353,31.778500467010712,25.848793
25g,compound,standard_full_finetune,V1,target_magnitude,low,34.0,5,10.051918089374093,8.018050893747274,7.5279669
25g,compound,standard_full_finetune,V1,target_magnitude,mid,34.6,5,15.91241025885434,11.830618844176641,10.1551107
25g,compound,standard_full_finetune,V1,target_magnitude,top10,10.8,5,57.113717644438246,49.00294438030303,42.4133442
25g,compound,standard_full_finetune,V2,EA,high,16.8,5,15.290808916916552,13.214356610897834,11.09494106
25g,compound,standard_full_finetune,V2,EA,low,37.2,5,52.72394040172958,37.569811643083895,27.875995
25g,compound,standard_full_finetune,V2,EA,mid,48.4,5,34.4165606966763,21.598523553428734,13.773375299999998
25g,compound,standard_full_finetune,V2,source_q50,high,31.8,5,66.27537883887427,48.88808729934554,38.851878000000006
25g,compound,standard_full_finetune,V2,source_q50,low,32.4,5,12.638062747711095,11.453735235103661,11.0180991
25g,compound,standard_full_finetune,V2,source_q50,mid,38.2,5,24.111176173171184,17.94641017305475,14.5183357
25g,compound,standard_full_finetune,V2,source_q50,top10,10.8,5,84.8025679775877,70.53765323880785,55.965485
25g,compound,standard_full_finetune,V2,target_magnitude,high,33.8,5,65.53887566099093,48.700060407854906,37.072330199999996
25g,compound,standard_full_finetune,V2,target_magnitude,low,34.0,5,12.641388831406466,11.072878685932915,10.42023418
25g,compound,standard_full_finetune,V2,target_magnitude,mid,34.6,5,24.66948183456001,18.92574813913391,15.643668200000002
25g,compound,standard_full_finetune,V2,target_magnitude,top10,10.8,5,89.46007702719113,77.38551749949495,69.3020913
25g,compound,standard_shallow_finetune,V1,EA,high,16.8,5,5.95890841232673,5.269244052756524,5.1422293
25g,compound,standard_shallow_finetune,V1,EA,low,37.2,5,26.541564788482987,17.298411267488966,10.1734657
25g,compound,standard_shallow_finetune,V1,EA,mid,48.4,5,15.043663254608948,10.026673924129419,7.090652500000002
25g,compound,standard_shallow_finetune,V1,source_q50,high,36.4,5,30.37198916838695,21.336621448297336,14.650855000000002
25g,compound,standard_shallow_finetune,V1,source_q50,low,33.6,5,7.127197683616285,6.283007533183304,6.1403935
25g,compound,standard_shallow_finetune,V1,source_q50,mid,32.4,5,9.541581079092374,6.870641727079587,5.460399800000001
25g,compound,standard_shallow_finetune,V1,source_q50,top10,11.2,5,48.013422816909,39.374212246153846,34.8750456
25g,compound,standard_shallow_finetune,V1,target_magnitude,high,33.8,5,32.077452617742416,23.66767879756769,17.4852342
25g,compound,standard_shallow_finetune,V1,target_magnitude,low,34.0,5,6.66962929111926,5.650143950116394,5.620383299999999
25g,compound,standard_shallow_finetune,V1,target_magnitude,mid,34.6,5,8.654104672641342,6.666505206004483,5.496105699999999
25g,compound,standard_shallow_finetune,V1,target_magnitude,top10,10.8,5,50.779093968846595,43.98223896464647,39.371885999999996
25g,compound,standard_shallow_finetune,V2,EA,high,16.8,5,11.610673278173993,9.006235468334442,7.043055099999999
25g,compound,standard_shallow_finetune,V2,EA,low,37.2,5,34.78028842761223,22.074688256683338,10.518807400000004
25g,compound,standard_shallow_finetune,V2,EA,mid,48.4,5,20.7131641848327,13.702348463030074,9.509344300000002
25g,compound,standard_shallow_finetune,V2,source_q50,high,31.8,5,42.547078583519045,29.476610262678115,19.180601799999998
25g,compound,standard_shallow_finetune,V2,source_q50,low,32.4,5,11.868377496425389,9.811433122939272,8.5535954
25g,compound,standard_shallow_finetune,V2,source_q50,mid,38.2,5,12.266956578206774,9.089662774554228,6.641531599999999
25g,compound,standard_shallow_finetune,V2,source_q50,top10,10.8,5,62.34758482705045,48.51953404275724,36.9465778
25g,compound,standard_shallow_finetune,V2,target_magnitude,high,33.8,5,42.3170117090166,30.29113348108076,22.1897646
25g,compound,standard_shallow_finetune,V2,target_magnitude,low,34.0,5,9.350695915318308,7.73864179868491,7.412156899999999
25g,compound,standard_shallow_finetune,V2,target_magnitude,mid,34.6,5,13.026852048240562,10.231657252197735,8.470091499999999
25g,compound,standard_shallow_finetune,V2,target_magnitude,top10,10.8,5,68.0161331993138,57.87626782777778,51.39075699999999
25g,compound,target_head_only,V1,EA,high,16.8,5,3.838432603378796,3.087825438650241,2.4945332999999996
25g,compound,target_head_only,V1,EA,low,37.2,5,35.98310488056544,24.605109653148784,15.173981800000002
25g,compound,target_head_only,V1,EA,mid,48.4,5,17.953359878138315,10.474000542415927,6.0715832
25g,compound,target_head_only,V1,source_q50,high,36.4,5,40.588400659120374,29.591078811190073,19.8509328
25g,compound,target_head_only,V1,source_q50,low,33.6,5,5.465287759299671,4.499291196096735,4.0649415
25g,compound,target_head_only,V1,source_q50,mid,32.4,5,10.804474654708066,7.3153481330169825,5.3735344
25g,compound,target_head_only,V1,source_q50,top10,11.2,5,65.07696585246138,56.96640060417583,50.6968279
25g,compound,target_head_only,V1,target_magnitude,high,33.8,5,43.27574035891942,34.15121742047309,25.4929928
25g,compound,target_head_only,V1,target_magnitude,low,34.0,5,3.6658561369258336,3.013695594689122,2.5131873000000002
25g,compound,target_head_only,V1,target_magnitude,mid,34.6,5,7.516567632858677,6.58082792451224,6.588466199999999
25g,compound,target_head_only,V1,target_magnitude,top10,10.8,5,68.77374884122108,62.60819724141415,57.255860000000006
25g,compound,target_head_only,V2,EA,high,16.8,5,11.44254764779961,8.589284121083345,6.2727886999999996
25g,compound,target_head_only,V2,EA,low,37.2,5,63.75802245318181,46.50978083011369,32.5321194
25g,compound,target_head_only,V2,EA,mid,48.4,5,34.892994691374156,22.043522981781003,13.6917278
25g,compound,target_head_only,V2,source_q50,high,31.8,5,78.54522370819511,62.71927821341569,46.6652847
25g,compound,target_head_only,V2,source_q50,low,32.4,5,12.053129713420905,10.447609577134012,9.8280387
25g,compound,target_head_only,V2,source_q50,mid,38.2,5,18.13632338835,15.507931813673252,13.6604309
25g,compound,target_head_only,V2,source_q50,top10,10.8,5,117.50385604257455,105.91343975822845,94.2011908
25g,compound,target_head_only,V2,target_magnitude,high,33.8,5,77.7969900690503,63.70517748865559,45.6153192
25g,compound,target_head_only,V2,target_magnitude,low,34.0,5,8.518290593866,7.768932162418101,7.3723293
25g,compound,target_head_only,V2,target_magnitude,mid,34.6,5,16.715323781807914,15.708282631755386,15.216858300000002
25g,compound,target_head_only,V2,target_magnitude,top10,10.8,5,123.47790975975337,115.40673896717172,113.57606519999999
25g,row,conditional_EA,V1,EA,high,14.8,5,4.935603803712575,3.676525556690539,2.53642980036219
25g,row,conditional_EA,V1,EA,low,39.2,5,26.821069536647933,15.630671905547697,8.184464417746074
25g,row,conditional_EA,V1,EA,mid,44.0,5,6.762422395194011,4.848182006602673,3.5752894967049516
25g,row,conditional_EA,V1,source_q50,high,34.8,5,27.81736125635998,17.021010045339814,9.032774382590308
25g,row,conditional_EA,V1,source_q50,low,33.4,5,3.8061816113721756,2.8037762433831324,2.421585827772094
25g,row,conditional_EA,V1,source_q50,mid,29.8,5,10.091934189917287,6.672457792675841,5.1566737218728695
25g,row,conditional_EA,V1,source_q50,top10,11.2,5,37.24677500137044,28.16464329808491,20.48258140708112
25g,row,conditional_EA,V1,target_magnitude,high,33.0,5,26.969358187945524,16.82654375798443,9.563630316306492
25g,row,conditional_EA,V1,target_magnitude,low,33.0,5,11.666241517237083,5.555136728588458,2.9807233617033164
25g,row,conditional_EA,V1,target_magnitude,mid,32.0,5,6.303102052767614,4.884365350423899,4.016588915576325
25g,row,conditional_EA,V1,target_magnitude,top10,10.0,5,45.26158494118637,33.935942903055015,26.396307550636642
25g,row,conditional_EA,V2,EA,high,14.8,5,12.258731747711703,9.340981090494415,7.25000338649456
25g,row,conditional_EA,V2,EA,low,39.2,5,35.74733544551384,22.28723308461694,12.455611993903812
25g,row,conditional_EA,V2,EA,mid,44.0,5,14.841102589831726,10.724599262544137,7.788643651162081
25g,row,conditional_EA,V2,source_q50,high,33.2,5,40.93031676506951,28.242516120293125,17.86321714509178
25g,row,conditional_EA,V2,source_q50,low,31.4,5,7.881612628324936,6.524713236094856,5.815867817752549
25g,row,conditional_EA,V2,source_q50,mid,33.4,5,12.159134757610872,9.613753607770496,7.556562440681442
25g,row,conditional_EA,V2,source_q50,top10,11.0,5,64.56603115773527,51.35301671782632,49.091907634653104
25g,row,conditional_EA,V2,target_magnitude,high,33.0,5,37.65297129366651,24.938262651747554,14.210137446874038
25g,row,conditional_EA,V2,target_magnitude,low,33.2,5,11.938687033736285,7.698147796853414,5.628090076409315
25g,row,conditional_EA,V2,target_magnitude,mid,31.8,5,17.257211228631306,12.405450034630569,9.479640253857808
25g,row,conditional_EA,V2,target_magnitude,top10,10.0,5,60.29465646366556,44.69194119577698,27.99808215692773
25g,row,conditional_policy,V1,EA,high,14.8,5,6.00348925043304,4.560477077993928,3.119250650791952
25g,row,conditional_policy,V1,EA,low,39.2,5,26.87677602745806,15.648825653450166,7.717798809883101
25g,row,conditional_policy,V1,EA,mid,44.0,5,6.8348963558224325,4.868204635609929,3.471225628712509
25g,row,conditional_policy,V1,source_q50,high,34.8,5,27.934382510346573,17.23010390632421,9.681298729334955
25g,row,conditional_policy,V1,source_q50,low,33.4,5,3.9754497888370404,2.9890004079926387,2.6732323571466807
25g,row,conditional_policy,V1,source_q50,mid,29.8,5,10.247142864629925,6.67946611838082,5.11488743880831
25g,row,conditional_policy,V1,source_q50,top10,11.2,5,37.28099934598178,28.153195024918716,20.20619152526867
25g,row,conditional_policy,V1,target_magnitude,high,33.0,5,27.282803937862184,17.122043760517396,10.141824551267314
25g,row,conditional_policy,V1,target_magnitude,low,33.0,5,11.609065804490141,5.949428438848647,3.412578503572135
25g,row,conditional_policy,V1,target_magnitude,mid,32.0,5,6.085066993751935,4.636441892012789,3.7293794699043117
25g,row,conditional_policy,V1,target_magnitude,top10,10.0,5,45.60680108568173,34.10217741993082,25.571729626572637
25g,row,conditional_policy,V2,EA,high,14.8,5,11.853792880093234,8.965066837901682,6.641880930308352
25g,row,conditional_policy,V2,EA,low,39.2,5,35.965519480643884,22.622233819670946,12.80603874762581
25g,row,conditional_policy,V2,EA,mid,44.0,5,14.808508965529137,10.74721729710139,7.9097544628294
25g,row,conditional_policy,V2,source_q50,high,33.2,5,41.19409147170512,28.878858718611024,19.021530782271014
25g,row,conditional_policy,V2,source_q50,low,31.4,5,7.630938426540288,6.276769181949895,5.370103317702979
25g,row,conditional_policy,V2,source_q50,mid,33.4,5,12.153152480705264,9.424795347706242,7.281149615197532
25g,row,conditional_policy,V2,source_q50,top10,11.0,5,64.8944037578124,52.53700162258703,51.31883206143673
25g,row,conditional_policy,V2,target_magnitude,high,33.0,5,38.362380930997816,25.988830565239333,15.74844555125721
25g,row,conditional_policy,V2,target_magnitude,low,33.2,5,11.739677240431373,7.5282568350288015,5.396882524847871
25g,row,conditional_policy,V2,target_magnitude,mid,31.8,5,16.597098122496014,11.85804365958949,9.080361543425147
25g,row,conditional_policy,V2,target_magnitude,top10,10.0,5,61.3683232440172,46.77545303200863,32.1541128886116
25g,row,local_identity_shrinkage,V1,EA,high,14.8,5,10.492207234045846,8.066699200076444,6.211781389801933
25g,row,local_identity_shrinkage,V1,EA,low,39.2,5,27.489090550009358,15.554452959078557,6.074447714807643
25g,row,local_identity_shrinkage,V1,EA,mid,44.0,5,7.322866838177146,5.17768367255498,3.7966248747846243
25g,row,local_identity_shrinkage,V1,source_q50,high,34.8,5,28.87426928043514,17.709497754396697,10.309198499073782
25g,row,local_identity_shrinkage,V1,source_q50,low,33.4,5,4.520584281298362,3.500759770682656,3.2281493283487293
25g,row,local_identity_shrinkage,V1,source_q50,mid,29.8,5,11.064919302430805,7.4703340537299265,5.718226005154445
25g,row,local_identity_shrinkage,V1,source_q50,top10,11.2,5,37.83028445543011,27.972992594227385,19.071835105669454
25g,row,local_identity_shrinkage,V1,target_magnitude,high,33.0,5,28.21885004048196,17.45444871438632,10.703080465407803
25g,row,local_identity_shrinkage,V1,target_magnitude,low,33.0,5,13.053190043079198,7.3763247139364285,4.703220578633207
25g,row,local_identity_shrinkage,V1,target_magnitude,mid,32.0,5,6.175446064784918,4.760264059399206,3.920527019321446
25g,row,local_identity_shrinkage,V1,target_magnitude,top10,10.0,5,47.16257903331778,35.07666307961855,26.713082285992066
25g,row,local_identity_shrinkage,V2,EA,high,14.8,5,12.568364647111046,9.02895287865811,6.018078382099183
25g,row,local_identity_shrinkage,V2,EA,low,39.2,5,35.83089447608248,22.352826193677906,12.610124258972135
25g,row,local_identity_shrinkage,V2,EA,mid,44.0,5,15.100068674586357,10.923564210064542,7.960532419502445
