column,protocol,method,target,dimension,level,mean_rows,nonempty_seeds,rmse,mae,median_absolute_error
25g,compound,conditional_EA,V1,EA,high,16.8,5,4.384665392640903,3.5606029738883493,3.1112521682639063
25g,compound,conditional_EA,V1,EA,low,37.2,5,18.000461367429793,12.372075253771905,7.4293237924775495
25g,compound,conditional_EA,V1,EA,mid,48.4,5,9.251921628827878,6.405190660328316,4.9307941765841035
25g,compound,conditional_EA,V1,source_q50,high,36.4,5,19.251965701537685,13.504079837667987,8.464445374723493
25g,compound,conditional_EA,V1,source_q50,low,33.6,5,4.710527810713305,3.716363502798566,3.1982316914573943
25g,compound,conditional_EA,V1,source_q50,mid,32.4,5,8.907853899260724,6.540442131383804,5.907380642495559
25g,compound,conditional_EA,V1,source_q50,top10,11.2,5,28.58966809077682,22.422504107182313,16.49022535437616
25g,compound,conditional_EA,V1,target_magnitude,high,33.8,5,20.25585546896167,14.360994741740603,9.429603303886378
25g,compound,conditional_EA,V1,target_magnitude,low,34.0,5,5.715742410858185,4.39264729547457,3.918658235717474
25g,compound,conditional_EA,V1,target_magnitude,mid,34.6,5,7.7759506031964465,5.816373637844746,5.294770121073978
25g,compound,conditional_EA,V1,target_magnitude,top10,10.8,5,30.00506940290968,24.44218479534789,20.187830287449373
25g,compound,conditional_EA,V2,EA,high,16.8,5,10.351085005290258,8.141326617633492,6.97561742933344
25g,compound,conditional_EA,V2,EA,low,37.2,5,26.64264086520882,18.47163920082624,13.303776043446424
25g,compound,conditional_EA,V2,EA,mid,48.4,5,14.638425022482233,9.947994471007595,6.904831546291097
25g,compound,conditional_EA,V2,source_q50,high,31.8,5,31.52167172564315,22.998641162056117,17.00909489109481
25g,compound,conditional_EA,V2,source_q50,low,32.4,5,8.799707628101093,6.9832453834660555,6.235628240576408
25g,compound,conditional_EA,V2,source_q50,mid,38.2,5,11.030569836100389,9.248003758163986,8.310102586114676
25g,compound,conditional_EA,V2,source_q50,top10,10.8,5,42.78581325162179,33.783513533050176,29.773403475838286
25g,compound,conditional_EA,V2,target_magnitude,high,33.8,5,30.51226399043881,21.74162336741487,14.026886878357653
25g,compound,conditional_EA,V2,target_magnitude,low,34.0,5,7.321155520904131,6.249593979910545,5.940837546602548
25g,compound,conditional_EA,V2,target_magnitude,mid,34.6,5,12.874574589151411,10.541145585949693,9.71729242088452
25g,compound,conditional_EA,V2,target_magnitude,top10,10.8,5,46.75598729435131,38.56308907762028,35.81595687790389
25g,compound,conditional_policy,V1,EA,high,16.8,5,4.741403464234319,3.8998592658988116,3.6530217944484304
25g,compound,conditional_policy,V1,EA,low,37.2,5,18.171211857937504,12.446035942438654,7.46848049190436
25g,compound,conditional_policy,V1,EA,mid,48.4,5,9.266347301927237,6.434078899654006,4.860177182427432
25g,compound,conditional_policy,V1,source_q50,high,36.4,5,19.21953743336736,13.533471497335347,8.795528971896283
25g,compound,conditional_policy,V1,source_q50,low,33.6,5,4.977096078027416,3.9470770973562366,3.480637249559885
25g,compound,conditional_policy,V1,source_q50,mid,32.4,5,8.899986801959487,6.3165390738219145,5.429711829585786
25g,compound,conditional_policy,V1,source_q50,top10,11.2,5,28.465184595640732,22.36612975691168,16.90391884945521
25g,compound,conditional_policy,V1,target_magnitude,high,33.8,5,20.403338291703957,14.54563097905871,9.651219045609746
25g,compound,conditional_policy,V1,target_magnitude,low,34.0,5,6.041175272984925,4.699634473195012,4.31883812570228
25g,compound,conditional_policy,V1,target_magnitude,mid,34.6,5,7.602396481404199,5.622470707773552,5.007947569333976
25g,compound,conditional_policy,V1,target_magnitude,top10,10.8,5,29.926385090260215,24.40797717646266,20.427058376024167
25g,compound,conditional_policy,V2,EA,high,16.8,5,10.481941889499495,8.262081728942423,7.0522415470756386
25g,compound,conditional_policy,V2,EA,low,37.2,5,26.418913981033768,18.263237775879016,13.08026078691899
25g,compound,conditional_policy,V2,EA,mid,48.4,5,14.590851023715135,9.955176449731372,6.804151905192444
25g,compound,conditional_policy,V2,source_q50,high,31.8,5,31.340411520261075,22.843240031377213,16.8444198393681
25g,compound,conditional_policy,V2,source_q50,low,32.4,5,8.941272040164657,7.093149112123546,6.27033559718671
25g,compound,conditional_policy,V2,source_q50,mid,38.2,5,10.730670174399075,8.962230699506515,7.848298385038558
25g,compound,conditional_policy,V2,source_q50,top10,10.8,5,42.572882834791,33.53803898087519,29.52134280510395
25g,compound,conditional_policy,V2,target_magnitude,high,33.8,5,30.33622278034202,21.585669793316264,13.728817540670196
25g,compound,conditional_policy,V2,target_magnitude,low,34.0,5,7.419754844200388,6.3205888857571235,5.984028951202583
25g,compound,conditional_policy,V2,target_magnitude,mid,34.6,5,12.782747183919927,10.492082819049381,9.982096998626849
25g,compound,conditional_policy,V2,target_magnitude,top10,10.8,5,46.57182529978483,38.380007461672626,35.65128182617718
