outer_seed,method,new_evaluation_fits,ensemble_fits,training_seconds,gradient_seconds
157,center_width_lcmd,3,0,1571.6378500409992,256.96194158300204
6101,center_width_lcmd,3,0,1321.6776394580047,261.0256688340014
