outer_seed,method,AULC_429_525
157,center_width_lcmd,0.5599417067330225
157,gradient_maxdet,0.6054661331872865
157,hybrid,0.6105934614260002
157,kernel_ivr,0.5828172872663114
157,lcmd,0.6534083327819569
6101,center_width_lcmd,0.7401392303593551
6101,gradient_maxdet,0.7676746590945132
6101,hybrid,0.7547397346093007
6101,kernel_ivr,0.7503806329367221
6101,lcmd,0.8050521973885534
