sample_id,source_row,canonical_smiles,V1_ml,V2_ml
c32ed74eba9d7dfc4860,2,CC(C)CCOC(=O)c1ccccc1,7.058333333333334,15.4
9a478db27ef04d7bb59c,3,CC(C)CCOC(=O)c1ccccc1,6.36,15.373333333333331
bfe9ce431b45599fd5e6,4,CC(C)CCOC(=O)c1ccccc1,5.845,14.55
00024cd15c1b4e6c6ef8,5,CC(C)CCOC(=O)c1ccccc1,6.516666666666667,14.8
85c21f6446e32913c1a9,6,CC(C)CCOC(=O)c1ccccc1,6.286666666666667,15.233333333333333
8a288da5928f08936524,7,CC(C)CCOC(=O)c1ccccc1,6.565,16.205
7937e75a777f4bf48438,8,CC(C)CCOC(=O)c1ccccc1,6.475,13.175
aba0560d15516aeba617,9,CC(C)CCOC(=O)c1ccccc1,6.2,11.24
0956abfd4514355d5383,10,CC(C)CCOC(=O)c1ccccc1,5.68,10.825
98f205d21cdccb427f9e,11,CC(C)CCOC(=O)c1ccccc1,5.25,10.713333333333331
16374e5b25572a4c37e5,12,CC(C)CCOC(=O)c1ccccc1,5.7,9.38
26b3dfccf0d1cfb441c7,13,CC(C)CCOC(=O)c1ccccc1,5.305,9.065
a62a679c00aad3b9b8e5,14,CC(C)CCOC(=O)c1ccccc1,5.023333333333333,8.976666666666667
6c387793968257d2f169,15,CCOC(=O)c1ccc(Cl)cc1,3.5,4.45
812adebe27af25dc2242,16,CCOC(=O)c1ccc(Cl)cc1,7.493333333333333,22.473333333333333
f159b69487cebc7dcf97,17,CCOC(=O)c1ccc(Cl)cc1,6.895,24.105
19ac0f010c25e2c5360d,18,CCOC(=O)c1ccc(Cl)cc1,8.195,23.395
0fb4ba3b33f8740a6a8a,19,CCOC(=O)c1ccc(Cl)cc1,8.106666666666667,19.196666666666665
d15ae6c5a25f630d3055,20,CCOC(=O)c1ccc(Cl)cc1,9.358333333333333,19.641666666666666
e1b9d0166a4779c27067,21,CCOC(=O)c1ccc(Cl)cc1,8.3,17.233333333333334
d9481b0f826e3bfbbb60,22,CCOC(=O)c1ccc(Cl)cc1,8.885,15.285
ab49ee9538cdb7f47f70,23,CCOC(=O)c1ccc(Cl)cc1,8.143333333333333,16.016666666666666
b7e013953a302595b447,24,CCOC(=O)c1ccc(Cl)cc1,9.241666666666667,14.8
585d3167bdb0e8cd6b97,25,CCOC(=O)c1ccc(Cl)cc1,7.5,14.873333333333331
b819ee3c169e34252d65,26,CCOC(=O)c1ccc(Cl)cc1,7.5,14.985
89b6013d19ba95312c59,27,CCOC(=O)c1ccc(Cl)cc1,8.908333333333333,15.483333333333333
a8303fe76e948da2917b,28,CCOC(=O)c1ccc(Cl)cc1,6.766666666666667,12.846666666666666
c16aef24cbedd5b1b875,29,CCOC(=O)c1ccc(Cl)cc1,6.07,12.125
