round,strategy,selected_total,selected_tail_count,selected_tail_fraction,selected_compounds,mean_pairwise_latent_distance,mean_uncertainty,mean_true_error_after_reveal
1,random,25,0,0.0,24,14.210382357296673,0.05904587314845308,1.123522721370585
2,random,25,0,0.0,23,14.221296869218161,0.03763426332594731,0.6905068343015323
