round,labeled_total,test_rows,V1_rmse,V2_rmse,normalized_rmse_score,checkpoint_changed_from_previous,prediction_max_abs_change_from_previous
0,375,417,10.134340453563333,22.786470237587128,1.5657298686848444,,
1,400,417,10.13077309940345,22.787818661887524,1.5655002149650348,True,0.033980727195739746
2,425,417,10.12077850010384,22.789066991204898,1.5647702979245222,True,0.04919028282165527
