selection_order,pool_position,selected_from_center,largest_cluster_score,nearest_center_sq_distance_before_selection
0,1059,80,779016.6665103141,107582.42769035185
1,2892,62,684183.3132836212,40817.067491765425
2,1605,80,563851.8502397871,90227.28380126262
3,1860,62,561732.4112632878,35638.490090620646
4,1474,174,520765.38090509444,99017.6409392592
5,1329,98,460439.181293927,41819.8480942898
6,1685,336,406864.8091053347,62551.2293299039
7,602,62,375174.9958853363,33313.953594733146
8,1378,309,335539.6589034856,36186.88081611018
9,1532,98,334980.0840883678,35555.466657159384
10,1603,115,332110.6936337578,45174.44401531563
11,1340,80,300039.9384270451,36709.23924493321
12,607,119,263009.60320969997,22793.628913331748
13,617,148,259293.95097888942,31664.968074617063
14,2979,62,252144.44561273092,29397.047478128312
15,417,33,231378.7317084752,49892.50836819406
16,2742,98,228314.21595589843,34344.99632979254
17,479,148,227628.98290427233,28960.57339172266
18,511,336,219211.7054246848,39702.87084556796
19,1600,317,206235.42632668774,24001.232212055664
20,256,33,181486.22334028117,26691.670278350255
21,1354,309,180719.48825012502,24177.1366877291
22,2837,17,167770.78797165366,24908.1431804288
23,709,99,164600.3697138087,43294.74368123675
24,2599,293,159380.42855347536,27637.96944933047
25,141,119,156926.06793957594,19556.08457934705
26,1543,358,207743.6933683731,17949.17706217384
27,2835,358,153896.36763669224,17299.821428089854
28,402,353,152534.38859540102,16881.376413239937
29,2418,148,144731.5234419636,20768.051388305437
30,2364,334,141566.74283240185,33135.274635348935
31,510,351,139084.29834159522,26723.18185181357
32,1057,80,137536.0070387173,33996.23640334359
33,1052,317,134232.02517313918,13470.79652331165
34,2821,237,127510.28509371166,24776.36872779377
35,1376,367,132647.03159947554,19619.118149410016
36,2978,191,127120.59575168871,11133.945060608123
37,705,98,125279.46370139439,21882.408727514237
38,1628,61,121915.42060057148,16084.365807442708
39,491,358,119296.74695449366,12470.682780366158
40,161,322,117385.17374618165,19362.37071424097
41,1445,309,108188.56787676614,18805.650029988115
42,387,62,107980.20299700141,25551.37058346084
43,1117,37,106667.61970831768,15235.51929888214
44,412,361,104583.2883543233,15643.171117373902
45,1653,80,103539.77063537372,17744.099093744735
46,2301,4,103379.803560361,9810.392139098418
47,1406,19,101414.62840164173,5346.530383291981
48,1668,345,97158.749165039,17540.855286950624
49,1472,342,93082.4542662981,46541.2750375825
50,677,380,90872.73628656256,8819.507580097561
51,1647,19,86267.83410154836,3746.5200574711735
52,164,351,85637.94166738424,18015.692000807612
53,975,314,85194.32576506972,31433.138227790856
54,972,54,84607.38038319576,10418.498609131619
55,2650,191,84047.23853229049,9219.463983635476
56,2594,4,83759.09271371651,9629.33396871647
57,1462,389,129287.71237723438,21124.120727407135
58,703,389,87039.52380782638,17427.362175718634
