sample_id,source_row,canonical_smiles,split,seed,split_mode
c32ed74eba9d7dfc4860,2,CC(C)CCOC(=O)c1ccccc1,test,525,compound
9a478db27ef04d7bb59c,3,CC(C)CCOC(=O)c1ccccc1,test,525,compound
bfe9ce431b45599fd5e6,4,CC(C)CCOC(=O)c1ccccc1,test,525,compound
00024cd15c1b4e6c6ef8,5,CC(C)CCOC(=O)c1ccccc1,test,525,compound
85c21f6446e32913c1a9,6,CC(C)CCOC(=O)c1ccccc1,test,525,compound
8a288da5928f08936524,7,CC(C)CCOC(=O)c1ccccc1,test,525,compound
7937e75a777f4bf48438,8,CC(C)CCOC(=O)c1ccccc1,test,525,compound
aba0560d15516aeba617,9,CC(C)CCOC(=O)c1ccccc1,test,525,compound
0956abfd4514355d5383,10,CC(C)CCOC(=O)c1ccccc1,test,525,compound
98f205d21cdccb427f9e,11,CC(C)CCOC(=O)c1ccccc1,test,525,compound
16374e5b25572a4c37e5,12,CC(C)CCOC(=O)c1ccccc1,test,525,compound
26b3dfccf0d1cfb441c7,13,CC(C)CCOC(=O)c1ccccc1,test,525,compound
a62a679c00aad3b9b8e5,14,CC(C)CCOC(=O)c1ccccc1,test,525,compound
6c387793968257d2f169,15,CCOC(=O)c1ccc(Cl)cc1,validation,525,compound
812adebe27af25dc2242,16,CCOC(=O)c1ccc(Cl)cc1,validation,525,compound
f159b69487cebc7dcf97,17,CCOC(=O)c1ccc(Cl)cc1,validation,525,compound
19ac0f010c25e2c5360d,18,CCOC(=O)c1ccc(Cl)cc1,validation,525,compound
0fb4ba3b33f8740a6a8a,19,CCOC(=O)c1ccc(Cl)cc1,validation,525,compound
d15ae6c5a25f630d3055,20,CCOC(=O)c1ccc(Cl)cc1,validation,525,compound
e1b9d0166a4779c27067,21,CCOC(=O)c1ccc(Cl)cc1,validation,525,compound
d9481b0f826e3bfbbb60,22,CCOC(=O)c1ccc(Cl)cc1,validation,525,compound
ab49ee9538cdb7f47f70,23,CCOC(=O)c1ccc(Cl)cc1,validation,525,compound
b7e013953a302595b447,24,CCOC(=O)c1ccc(Cl)cc1,validation,525,compound
585d3167bdb0e8cd6b97,25,CCOC(=O)c1ccc(Cl)cc1,validation,525,compound
b819ee3c169e34252d65,26,CCOC(=O)c1ccc(Cl)cc1,validation,525,compound
89b6013d19ba95312c59,27,CCOC(=O)c1ccc(Cl)cc1,validation,525,compound
a8303fe76e948da2917b,28,CCOC(=O)c1ccc(Cl)cc1,validation,525,compound
c16aef24cbedd5b1b875,29,CCOC(=O)c1ccc(Cl)cc1,validation,525,compound
331a940debe2ca50c35d,30,CCOC(=O)c1ccc(Cl)cc1,validation,525,compound
66d759515aa12dcf0810,31,CC(C)COC(=O)c1ccccc1,train,525,compound
ac76ec24edfe8aec7fb2,32,CC(C)COC(=O)c1ccccc1,train,525,compound
0f3200ec8aae2a81902a,33,CC(C)COC(=O)c1ccccc1,train,525,compound
daa955a2af22ac0c8460,34,CC(C)COC(=O)c1ccccc1,train,525,compound
e19bda1298f299931245,35,CC(C)COC(=O)c1ccccc1,train,525,compound
7a3708dd5094bb49d459,36,CC(C)COC(=O)c1ccccc1,train,525,compound
ae6ebf89dbdd202b5247,37,CC(C)COC(=O)c1ccccc1,train,525,compound
60f62af0f813d1d7e740,38,CC(C)COC(=O)c1ccccc1,train,525,compound
7d508d405f154f326fdb,39,CC(C)COC(=O)c1ccccc1,train,525,compound
008b682251848aa83f89,40,CC(C)COC(=O)c1ccccc1,train,525,compound
04533c20becd80f9b771,41,CC(C)COC(=O)c1ccccc1,train,525,compound
19e665b6098744dfb60c,42,CC(C)COC(=O)c1ccccc1,train,525,compound
cb839ce268b9ea4fa20b,43,CC(C)COC(=O)c1ccccc1,train,525,compound
d0cc8f9af20c2aaeb9d5,44,CC(C)COC(=O)c1ccccc1,train,525,compound
3016ab4b83227fcf83e4,45,CC(C)COC(=O)c1ccccc1,train,525,compound
e7c4d856d4d9a8d5ddbf,46,CC(C)COC(=O)c1ccccc1,train,525,compound
5c11321c1ad5aec4ddf1,47,CC(C)COC(=O)c1ccccc1,train,525,compound
6291930c715370a3b84f,48,CC(C)COC(=O)c1ccccc1,train,525,compound
b4c266d3fe67315f0adf,49,CC(C)COC(=O)c1ccccc1,train,525,compound
c7ab6c7042f1d1d26570,50,CC(C)COC(=O)c1ccccc1,train,525,compound
463adede738923684058,51,CC(C)COC(=O)c1ccccc1,train,525,compound
8d18a5b9f05363ff3a09,52,CC(C)COC(=O)c1ccccc1,train,525,compound
777a43423f6522997450,53,CC(C)COC(=O)c1ccccc1,train,525,compound
73d2b61a089521939a3e,54,CC(C)COC(=O)c1ccccc1,train,525,compound
87f560465eb2acd030e0,55,CC(C)COC(=O)c1ccccc1,train,525,compound
81627208cc398faac5a2,56,CC(C)COC(=O)c1ccccc1,train,525,compound
8e175dc1200d398d3489,57,CC(C)COC(=O)c1ccccc1,train,525,compound
e7a1b39854237234e083,58,CC(C)COC(=O)c1ccccc1,train,525,compound
