method,bottleneck_width,graph_representation_dim,adapter_parameters,head_parameters,total_trainable_parameters,total_model_parameters,expected_trainable_parameters,count_pass
target_head_only,,128,0,774,774,775476,774,True
last1_head,,128,0,774,93454,775476,93454,True
current_last2_head,,128,0,774,186134,775476,186134,True
graph_adapter_r8,8,128,2184,774,2958,777660,2958,True
graph_adapter_r16,16,128,4240,774,5014,779716,5014,True
graph_adapter_r32,32,128,8352,774,9126,783828,9126,True
