method,trainable_parameters,mean_normalized_AULC,median_normalized_AULC,std,paired_mean_delta_vs_head,paired_median_delta_vs_head,wins_vs_head,stable_gate_pass
target_head_only,774,0.6576644476876063,0.5977937577640055,0.19509819419476293,0.0,0.0,0.0,False
last1_head,93454,0.6894512113682143,0.6099262111303666,0.23277775621128735,,,,False
current_last2_head,186134,0.7634260075635728,0.8513896233364987,0.260980479938488,,,,False
graph_adapter_r8,2958,0.6583116698538798,0.5910271033425937,0.20001822075452869,0.0006472221662734645,0.0034519378814619195,2.0,False
graph_adapter_r16,5014,0.6586609540644587,0.599191044817745,0.19798286688562258,0.0009965063768524129,0.0013972870537395377,2.0,False
graph_adapter_r32,9126,0.6577695124629042,0.6128907580806037,0.19965685719235796,0.00010506477529791392,-0.004337417737775018,3.0,False
