outer_seed,budget,method,bottleneck_width,source_member,run_key,initial_status,attempts,final_status,action,reason,errors
769539383,30,graph_adapter_r8,8,42,seed_769539383/budget_30/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
769539383,30,graph_adapter_r8,8,525,seed_769539383/budget_30/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
769539383,30,graph_adapter_r8,8,1101,seed_769539383/budget_30/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
769539383,30,graph_adapter_r16,16,42,seed_769539383/budget_30/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
769539383,30,graph_adapter_r16,16,525,seed_769539383/budget_30/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
769539383,30,graph_adapter_r16,16,1101,seed_769539383/budget_30/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
769539383,30,graph_adapter_r32,32,42,seed_769539383/budget_30/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
769539383,30,graph_adapter_r32,32,525,seed_769539383/budget_30/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
769539383,30,graph_adapter_r32,32,1101,seed_769539383/budget_30/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
769539383,50,graph_adapter_r8,8,42,seed_769539383/budget_50/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
769539383,50,graph_adapter_r8,8,525,seed_769539383/budget_50/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
769539383,50,graph_adapter_r8,8,1101,seed_769539383/budget_50/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
769539383,50,graph_adapter_r16,16,42,seed_769539383/budget_50/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
769539383,50,graph_adapter_r16,16,525,seed_769539383/budget_50/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
769539383,50,graph_adapter_r16,16,1101,seed_769539383/budget_50/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
769539383,50,graph_adapter_r32,32,42,seed_769539383/budget_50/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
769539383,50,graph_adapter_r32,32,525,seed_769539383/budget_50/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
769539383,50,graph_adapter_r32,32,1101,seed_769539383/budget_50/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
769539383,70,graph_adapter_r8,8,42,seed_769539383/budget_70/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
769539383,70,graph_adapter_r8,8,525,seed_769539383/budget_70/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
769539383,70,graph_adapter_r8,8,1101,seed_769539383/budget_70/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
769539383,70,graph_adapter_r16,16,42,seed_769539383/budget_70/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
769539383,70,graph_adapter_r16,16,525,seed_769539383/budget_70/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
769539383,70,graph_adapter_r16,16,1101,seed_769539383/budget_70/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
769539383,70,graph_adapter_r32,32,42,seed_769539383/budget_70/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
769539383,70,graph_adapter_r32,32,525,seed_769539383/budget_70/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
769539383,70,graph_adapter_r32,32,1101,seed_769539383/budget_70/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
769539383,100,graph_adapter_r8,8,42,seed_769539383/budget_100/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
769539383,100,graph_adapter_r8,8,525,seed_769539383/budget_100/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
769539383,100,graph_adapter_r8,8,1101,seed_769539383/budget_100/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
769539383,100,graph_adapter_r16,16,42,seed_769539383/budget_100/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
769539383,100,graph_adapter_r16,16,525,seed_769539383/budget_100/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
769539383,100,graph_adapter_r16,16,1101,seed_769539383/budget_100/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
