adapter_type,bottleneck_width,graph_representation_dim,rows,adapter_parameters,head_parameters,trainable_parameters,total_parameters,maximum_absolute_prediction_difference,tolerance,prediction_identical,method,source_member
graph_level_residual,8,128,30,2184,774,2958,777660,0.0,1e-07,True,graph_adapter_r8,42
graph_level_residual,8,128,30,2184,774,2958,777660,0.0,1e-07,True,graph_adapter_r8,525
graph_level_residual,8,128,30,2184,774,2958,777660,0.0,1e-07,True,graph_adapter_r8,1101
graph_level_residual,16,128,30,4240,774,5014,779716,0.0,1e-07,True,graph_adapter_r16,42
graph_level_residual,16,128,30,4240,774,5014,779716,0.0,1e-07,True,graph_adapter_r16,525
graph_level_residual,16,128,30,4240,774,5014,779716,0.0,1e-07,True,graph_adapter_r16,1101
graph_level_residual,32,128,30,8352,774,9126,783828,0.0,1e-07,True,graph_adapter_r32,42
graph_level_residual,32,128,30,8352,774,9126,783828,0.0,1e-07,True,graph_adapter_r32,525
graph_level_residual,32,128,30,8352,774,9126,783828,0.0,1e-07,True,graph_adapter_r32,1101
