method,trainable_parameters,budget,mean_NRMSE,median_NRMSE,std_NRMSE,best_by_seed_count
target_head_only,774,30,0.6648043604034816,0.5933742974423989,0.206237211976041,2
last1_head,93454,30,0.7102561779651462,0.6274211097219291,0.21482769696516857,0
current_last2_head,186134,30,0.7985486380451442,0.8132501494919538,0.27024910892193665,0
target_head_only,774,50,0.6818073998894268,0.6537005176038507,0.18631626642487598,0
last1_head,93454,50,0.6962420079995034,0.6056233505399724,0.24179919346235693,0
current_last2_head,186134,50,0.7801599169236109,0.7433617788537767,0.33611824872612495,2
target_head_only,774,70,0.6502952152048086,0.5996040581181918,0.19278044551509513,1
last1_head,93454,70,0.6755740229009078,0.610043774346301,0.25436332915322746,1
current_last2_head,186134,70,0.7264079331886426,0.7934022961185132,0.26021374229127114,2
target_head_only,774,100,0.632995957079258,0.5927882163712509,0.21202310319018494,2
last1_head,93454,100,0.6896554855740515,0.6542762478344588,0.2168830563193546,0
current_last2_head,186134,100,0.7793958320540252,0.892724216871275,0.2307572070118516,1
graph_adapter_r8,2958,30,0.6593100503380678,0.5934158107505434,0.20477472908235428,1
graph_adapter_r16,5014,30,0.6586828194709471,0.6019102353954523,0.2014960502845285,0
graph_adapter_r32,9126,30,0.6607935993277415,0.6162946164389249,0.19849512659801632,2
graph_adapter_r8,2958,50,0.6747305221192856,0.6402319250889544,0.19286776329970423,2
graph_adapter_r16,5014,50,0.6732110419748263,0.6284148123496932,0.19136212300382274,0
graph_adapter_r32,9126,50,0.6729592475581614,0.6112643603086081,0.1913317595631522,1
graph_adapter_r8,2958,70,0.6525911093728803,0.5906014405784339,0.20166271195740063,1
graph_adapter_r16,5014,70,0.6539402991409349,0.5991174980119759,0.1990551058538058,0
graph_adapter_r32,9126,70,0.6496872171807889,0.6125567372720598,0.20441947376677488,0
graph_adapter_r8,2958,100,0.6452885473122122,0.5921203727586233,0.2084260847250472,1
graph_adapter_r16,5014,100,0.647114018118849,0.5994699784375102,0.20671050657074638,0
graph_adapter_r32,9126,100,0.6489709665628618,0.6133467508852902,0.20745066296082887,1
