outer_seed,candidate,reference,delta_normalized_AULC_candidate_minus_head,candidate_better,mean_paired_delta_AULC,median_paired_delta_AULC,win_count,outer_seed_count,pass,decision_rule
536279090,graph_adapter_r8,target_head_only,-0.006766654421411777,True,0.0006472221662734645,0.0034519378814619195,2,5,False,mean<0 and median<0 and wins>=4/5
769539383,graph_adapter_r8,target_head_only,0.010441438672613379,False,0.0006472221662734645,0.0034519378814619195,2,5,False,mean<0 and median<0 and wins>=4/5
1362771960,graph_adapter_r8,target_head_only,0.0034519378814619195,False,0.0006472221662734645,0.0034519378814619195,2,5,False,mean<0 and median<0 and wins>=4/5
1425370602,graph_adapter_r8,target_head_only,-0.009987356710206341,True,0.0006472221662734645,0.0034519378814619195,2,5,False,mean<0 and median<0 and wins>=4/5
2767143051,graph_adapter_r8,target_head_only,0.0060967454089101425,False,0.0006472221662734645,0.0034519378814619195,2,5,False,mean<0 and median<0 and wins>=4/5
536279090,graph_adapter_r16,target_head_only,0.0013972870537395377,False,0.0009965063768524129,0.0013972870537395377,2,5,False,mean<0 and median<0 and wins>=4/5
769539383,graph_adapter_r16,target_head_only,0.0034112379264173986,False,0.0009965063768524129,0.0013972870537395377,2,5,False,mean<0 and median<0 and wins>=4/5
1362771960,graph_adapter_r16,target_head_only,-0.00183525330102019,True,0.0009965063768524129,0.0013972870537395377,2,5,False,mean<0 and median<0 and wins>=4/5
1425370602,graph_adapter_r16,target_head_only,-0.005740239831206584,True,0.0009965063768524129,0.0013972870537395377,2,5,False,mean<0 and median<0 and wins>=4/5
2767143051,graph_adapter_r16,target_head_only,0.007749500036331902,False,0.0009965063768524129,0.0013972870537395377,2,5,False,mean<0 and median<0 and wins>=4/5
536279090,graph_adapter_r32,target_head_only,0.01509700031659822,False,0.00010506477529791392,-0.004337417737775018,3,5,False,mean<0 and median<0 and wins>=4/5
769539383,graph_adapter_r32,target_head_only,-0.016736505204960284,True,0.00010506477529791392,-0.004337417737775018,3,5,False,mean<0 and median<0 and wins>=4/5
1362771960,graph_adapter_r32,target_head_only,-0.0075958748656369535,True,0.00010506477529791392,-0.004337417737775018,3,5,False,mean<0 and median<0 and wins>=4/5
1425370602,graph_adapter_r32,target_head_only,-0.004337417737775018,True,0.00010506477529791392,-0.004337417737775018,3,5,False,mean<0 and median<0 and wins>=4/5
2767143051,graph_adapter_r32,target_head_only,0.014098121368263605,False,0.00010506477529791392,-0.004337417737775018,3,5,False,mean<0 and median<0 and wins>=4/5
