outer_seed,budget,method,total_revealed_target_labels,gradient_training_labels,validation_labels,test_rows,V1_MAE,V1_RMSE,V1_R2,V2_MAE,V2_RMSE,V2_R2,combined_NRMSE
769539383,30,target_head_only,30.0,22.0,8.0,58.0,2.750329856321839,5.089567629025553,0.8717424498025771,4.281869140804598,6.704234337108211,0.9268887048247187,0.5370879370678774
769539383,30,last1_head,30.0,22.0,8.0,58.0,3.016199996551724,5.726447837764003,0.8376352383135042,4.826668942528736,7.291519597555023,0.91351870181634,0.5964210488281301
769539383,30,current_last2_head,30.0,22.0,8.0,58.0,3.1223562540229888,5.446578177631304,0.8531179772744024,4.627526347701149,7.719023885963194,0.9030805646874908,0.591802605001629
769539383,50,target_head_only,50.0,42.0,8.0,58.0,3.425975066091954,6.414588789016856,0.7962682090051089,4.800422770114941,7.707849332001976,0.9033609751494568,0.6537005176038507
769539383,50,last1_head,50.0,42.0,8.0,58.0,2.8135993235632184,5.53027059277946,0.8485693019081628,4.760018586206896,6.877845714529319,0.923053128987508,0.5708602624266172
769539383,50,current_last2_head,50.0,42.0,8.0,58.0,2.9850575143678157,5.159836603398544,0.8681764328957962,4.685062925287356,7.055107955421061,0.9190357247467658,0.5525869364184143
769539383,70,target_head_only,70.0,62.0,8.0,58.0,2.772908455747127,5.176615678110354,0.8673176949119132,4.3146364683908045,6.77507039523723,0.9253355742014412,0.5449023052176065
769539383,70,last1_head,70.0,62.0,8.0,58.0,2.554883735632184,4.357974245665921,0.9059647940643416,4.5860132183908044,6.5215887483542865,0.9308180302840598,0.4843272759897585
769539383,70,current_last2_head,70.0,62.0,8.0,58.0,2.762836737356321,4.496857660606241,0.8998757114117517,5.806641468390806,8.540018044496517,0.881367500130458,0.5564236405230365
769539383,100,target_head_only,100.0,92.0,8.0,58.0,2.4403427442528733,4.202950721220174,0.9125359149720238,4.2050700632183915,6.566576365797881,0.9298602677061536,0.4757663977088293
769539383,100,last1_head,100.0,92.0,8.0,58.0,2.63009357816092,5.2811326091229125,0.8619058418754125,5.070837724137932,10.055307496767831,0.8355337395903497,0.6542762478344588
769539383,100,current_last2_head,100.0,92.0,8.0,58.0,3.152068564367817,6.158526114496008,0.8122090167166098,6.061303568965517,11.86115032649441,0.7711558970065397,0.7672095045449314
1425370602,30,target_head_only,30.0,22.0,8.0,58.0,2.8004949999999997,3.958198793248177,0.6839493235599549,4.056659784482759,5.655200049971523,0.7644427172901073,0.4315067384550954
1425370602,30,last1_head,30.0,22.0,8.0,58.0,2.7010770356321845,3.9458177536504655,0.6859234114002519,4.481006344827585,6.519428594474973,0.6869457120069759,0.4577560836101552
1425370602,30,current_last2_head,30.0,22.0,8.0,58.0,2.586581854022989,4.049645258858845,0.6691771619000348,4.665099701149425,6.605569539888451,0.6786183110679536,0.4671284064219038
1425370602,50,target_head_only,50.0,42.0,8.0,58.0,2.7283427729885057,3.8749773064869992,0.6970995999381915,4.019355011494254,5.655913578888583,0.7643832719885552,0.4261775367592401
1425370602,50,last1_head,50.0,42.0,8.0,58.0,2.482380128735632,3.567582910535632,0.7432504625534988,4.310899468390804,6.113534816996968,0.7247132106791606,0.420731615108995
1425370602,50,current_last2_head,50.0,42.0,8.0,58.0,2.527241478735632,3.8828282754057217,0.6958709627123274,4.336727350574713,6.243355691673777,0.7128976503971104,0.4450660325975952
1425370602,70,target_head_only,70.0,62.0,8.0,58.0,2.554113198275862,3.652258494264089,0.7309180689590546,3.909853399425288,5.661321585730433,0.7639324779506236,0.4120249148850557
1425370602,70,last1_head,70.0,62.0,8.0,58.0,2.5106200833333334,3.5512706170130564,0.7455930003390923,3.7425681551724144,5.698853246396686,0.7607920893868573,0.4067054520430373
1425370602,70,current_last2_head,70.0,62.0,8.0,58.0,2.2343996637931034,3.1649864608414187,0.7979284219065659,3.736197721264368,5.633112694906284,0.7662791428835873,0.3798082622896057
1425370602,100,target_head_only,100.0,92.0,8.0,58.0,2.425467647701149,3.4219508205196583,0.763784143395364,3.9246396724137935,5.537710402237153,0.7741286895690827,0.3933467170068098
1425370602,100,last1_head,100.0,92.0,8.0,58.0,2.2629724758620693,3.381276174577289,0.7693662774662637,3.8735733678160926,5.611188963443487,0.7680948573465869,0.393030613532202
1425370602,100,current_last2_head,100.0,92.0,8.0,58.0,2.3757207385057475,3.253691555371939,0.7864427693781934,3.9825039109195406,5.574464884977533,0.7711204668318663,0.3836770677268383
536279090,30,target_head_only,30.0,22.0,8.0,58.0,3.7270033436781618,5.602080735470376,0.9205323645590376,5.10876433908046,7.449715224645376,0.93433231156258,0.5933742974423989
536279090,30,last1_head,30.0,22.0,8.0,58.0,3.6202433936781615,5.5874077372395465,0.9209481034586996,6.0503723189655165,8.567818381670543,0.9131413870984554,0.6274211097219291
