method,combined_normalized_RMSE,combined_normalized_RMSE_AULC,V1_RMSE,V1_RMSE_AULC,V2_RMSE,V2_RMSE_AULC,V1_MAE,V1_MAE_AULC,V2_MAE,V2_MAE_AULC,V1_R2,V1_R2_AULC,V2_R2,V2_R2_AULC,combined_normalized_RMSE_N80,combined_normalized_RMSE_N80_status,combined_normalized_RMSE_N90,combined_normalized_RMSE_N90_status,combined_normalized_RMSE_N95,combined_normalized_RMSE_N95_status,V1_RMSE_N80,V1_RMSE_N80_status,V1_RMSE_N90,V1_RMSE_N90_status,V1_RMSE_N95,V1_RMSE_N95_status,V2_RMSE_N80,V2_RMSE_N80_status,V2_RMSE_N90,V2_RMSE_N90_status,V2_RMSE_N95,V2_RMSE_N95_status,V1_R2_N80,V1_R2_N80_status,V1_R2_N90,V1_R2_N90_status,V1_R2_N95,V1_R2_N95_status,V2_R2_N80,V2_R2_N80_status,V2_R2_N90,V2_R2_N90_status,V2_R2_N95,V2_R2_N95_status,NRMSE_incremental_label_saving_observed,NRMSE_AULC_wins_vs_random,fit_count,epochs,training_seconds,gradient_seconds,new_fit_count,shared_endpoint_model
adaptive_lcmd,0.4367913643948073,0.544359151798351,3.4007379508222164,4.120808122863529,5.426925384797538,6.966688895973073,1.7304731202068375,2.118626202473538,2.8330964063283064,3.653931461574076,0.7760482661914259,0.6680877279459289,0.8573371831556212,0.7578418201702981,653.0,REACHED,,CENSORED,,CENSORED,653.0,REACHED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,589.0,REACHED,,CENSORED,,CENSORED,589.0,REACHED,,CENSORED,,CENSORED,0.6666666666666666,5.0,55.0,12578.0,22376.72322436888,5896.184521917079,0.0,False
random,0.6293617826633385,0.6690948184198477,4.740612623401012,4.967290640498307,8.36754335982039,9.073244450293709,2.329196664755293,2.495726312746247,4.089280545625756,4.454099798248254,0.567951595580795,0.5229367925870676,0.6640492876889903,0.6023433133632711,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,0.0,,55.0,10818.0,25558.666565754043,0.0,0.0,False
static_lcmd,0.4510129355863693,0.5395050987816514,3.5128492475502213,4.094658231676128,5.687078511363207,6.900050049286844,1.8647964397494456,2.1071388503630386,3.117685324110859,3.6429695271845346,0.7638926196976457,0.67445538542907,0.8444174311115207,0.7636194509351341,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,621.0,REACHED,,CENSORED,,CENSORED,589.0,REACHED,,CENSORED,,CENSORED,0.6666666666666666,5.0,55.0,11387.0,13884.15384174866,616.6706897090189,45.0,True
oneshot_b320,0.4510129355863693,,3.5128492475502213,,5.687078511363207,,1.8647964397494456,,3.117685324110859,,0.7638926196976457,,0.8444174311115207,,,NOT_EVALUATED,,NOT_EVALUATED,,NOT_EVALUATED,,NOT_EVALUATED,,NOT_EVALUATED,,NOT_EVALUATED,,NOT_EVALUATED,,NOT_EVALUATED,,NOT_EVALUATED,,NOT_EVALUATED,,NOT_EVALUATED,,NOT_EVALUATED,,NOT_EVALUATED,,NOT_EVALUATED,,NOT_EVALUATED,,,10.0,2021.0,2733.33241574798,616.6706897090189,0.0,True
