outer_seed,method,metric,endpoint,aulc,gap_closed,full_reference,gap_status
157,adaptive_lcmd,combined_normalized_RMSE,0.5593361563279281,0.6498297894239646,0.6290984524672405,0.4438399687109298,VALID
157,random,combined_normalized_RMSE,0.7418771581258784,0.8171431603163688,0.042890877550928116,0.4438399687109298,VALID
157,static_lcmd,combined_normalized_RMSE,0.4811436132826854,0.5944408545776868,0.8802040155112457,0.4438399687109298,VALID
157,adaptive_lcmd,V1_RMSE,4.223722405076378,4.742100791124786,0.5615988439481215,3.443902721751141,VALID
157,random,V1_RMSE,5.214931572701574,5.60065186894775,0.004358171177271877,3.443902721751141,VALID
157,static_lcmd,V1_RMSE,3.615144913891626,4.374407051383818,0.9037305974643679,3.443902721751141,VALID
157,adaptive_lcmd,V2_RMSE,5.941089765526139,7.34415115192877,0.6879550054778787,4.433505885703983,VALID
157,random,V2_RMSE,8.901895411724713,10.136795459646187,0.07511707717760427,4.433505885703983,VALID
157,static_lcmd,V2_RMSE,5.162902027107017,6.6211804562846925,0.8490270306051456,4.433505885703983,VALID
157,adaptive_lcmd,V1_MAE,1.9848759683201924,2.3409685513098464,0.5440765297194511,1.4581853800254474,VALID
157,random,V1_MAE,2.5518809411165524,2.6904454828166275,0.053255389929162025,1.4581853800254474,VALID
157,static_lcmd,V1_MAE,1.8219780235839405,2.223810183573112,0.685087206417093,1.4581853800254474,VALID
157,adaptive_lcmd,V2_MAE,2.820596468534401,3.699122721171208,0.7243130560393709,2.0942179030365797,VALID
157,random,V2_MAE,4.363997576048049,4.916002970176349,0.13853649978281937,2.0942179030365797,VALID
157,static_lcmd,V2_MAE,2.8700635141605955,3.54396524995351,0.7055385226442394,2.0942179030365797,VALID
157,adaptive_lcmd,V1_R2,0.6777206490061469,0.5917905392215864,0.6121315226774067,0.7857388177791359,VALID
157,random,V1_R2,0.5087088125267266,0.4305903532649792,0.005248769438579236,0.7857388177791359,VALID
157,static_lcmd,V1_R2,0.763901533040411,0.6511483665082475,0.9215873174237041,0.7857388177791359,VALID
157,adaptive_lcmd,V2_R2,0.8454546470769293,0.75886959596941,0.7636686901838804,0.9139366393306856,VALID
157,random,V2_R2,0.65303257983616,0.5469359256701527,0.09962026384677893,0.9139366393306856,VALID
157,static_lcmd,V2_R2,0.8832890807579683,0.8028992172198567,0.8942352957063798,0.9139366393306856,VALID
887,adaptive_lcmd,combined_normalized_RMSE,0.3261763372328363,0.3760332813043953,0.882082076645379,0.3001996726127193,VALID
887,random,combined_normalized_RMSE,0.4879753996320623,0.5321570875355496,0.1476148262168462,0.3001996726127193,VALID
887,static_lcmd,combined_normalized_RMSE,0.3339029860807828,0.3558410085676137,0.8470078898718146,0.3001996726127193,VALID
887,adaptive_lcmd,V1_RMSE,2.899265572133405,3.268326656689574,0.9390883631283948,2.8077678082944044,VALID
887,random,V1_RMSE,4.1691266993283955,4.518144233384542,0.09371994523817838,2.8077678082944044,VALID
887,static_lcmd,V1_RMSE,2.9517052398092862,3.0583879756480226,0.9041783734071004,2.8077678082944044,VALID
887,adaptive_lcmd,V2_RMSE,5.157896042437106,6.11896024243915,0.8307133915062304,4.3870535999865785,VALID
887,random,V2_RMSE,8.106318492684043,8.900409588311623,0.18320307095038246,4.3870535999865785,VALID
887,static_lcmd,V2_RMSE,5.319156027175918,5.865956734458783,0.7952986888396183,4.3870535999865785,VALID
887,adaptive_lcmd,V1_MAE,1.4305734628681943,1.7420976150664782,0.9148448558361318,1.3503556783250767,VALID
887,random,V1_MAE,2.090892575055861,2.378045343802415,0.21388347286158166,1.3503556783250767,VALID
887,static_lcmd,V1_MAE,1.6362401712998498,1.71391980959643,0.6965194769197869,1.3503556783250767,VALID
887,adaptive_lcmd,V2_MAE,2.682222297723345,3.2851325463333865,0.8314424056789834,2.275264868061605,VALID
887,random,V2_MAE,3.994044160957245,4.414683866157806,0.28809924168217127,2.275264868061605,VALID
887,static_lcmd,V2_MAE,2.840719085803135,3.19955217906897,0.7657946613226674,2.275264868061605,VALID
887,adaptive_lcmd,V1_R2,0.7978350277379322,0.7393815591243054,0.9511603509934675,0.8103939047257674,VALID
887,random,V1_R2,0.5819578231008451,0.5076976816928942,0.11164524839319075,0.8103939047257674,VALID
887,static_lcmd,V1_R2,0.7904556834005245,0.7678393957944093,0.922463152375595,0.8103939047257674,VALID
887,adaptive_lcmd,V2_R2,0.8504540409613184,0.7846766264136356,0.8787602991065041,0.8918129213076479,VALID
887,random,V2_R2,0.6306170556500172,0.553022829583959,0.234328677135979,0.8918129213076479,VALID
887,static_lcmd,V2_R2,0.8409568487089474,0.8007588946490565,0.8509201656608298,0.8918129213076479,VALID
2357,adaptive_lcmd,combined_normalized_RMSE,0.3481229427392543,0.4487048664822617,0.8641556164940445,0.301147468739874,VALID
2357,random,combined_normalized_RMSE,0.5275423584511438,0.5530778610634564,0.3453078467684655,0.301147468739874,VALID
2357,static_lcmd,combined_normalized_RMSE,0.44071226180968176,0.5011777210400176,0.5964044285331873,0.301147468739874,VALID
2357,adaptive_lcmd,V1_RMSE,3.039343953681346,3.691232402657532,0.8341271071712998,2.61050412817066,VALID
2357,random,V1_RMSE,4.416038945368891,4.580966791806484,0.3016290339290184,2.61050412817066,VALID
2357,static_lcmd,V1_RMSE,3.5953478993057497,4.212862373413956,0.6190678300272906,2.61050412817066,VALID
2357,adaptive_lcmd,V2_RMSE,4.505952668348265,6.360053910895045,0.8986375681756634,3.947231711508046,VALID
2357,random,V2_RMSE,7.306132302737015,7.770943381008541,0.39063260825468715,3.947231711508046,VALID
2357,static_lcmd,V2_RMSE,6.320659279944853,6.89074570738412,0.5694158467650325,3.947231711508046,VALID
2357,adaptive_lcmd,V1_MAE,1.7244209099730714,1.9691489499535777,0.6722793078256748,1.2815736740899029,VALID
2357,random,V1_MAE,2.1469382290645753,2.327680008445712,0.35960338473413206,1.2815736740899029,VALID
2357,static_lcmd,V1_MAE,1.9053155495394334,2.1347949878203214,0.5384116629908018,1.2815736740899029,VALID
2357,adaptive_lcmd,V2_MAE,2.616539403974867,3.4783160699643103,0.8126065749197033,2.1426709172822873,VALID
2357,random,V2_MAE,3.655584246134586,3.9387173019724777,0.40171161724203963,2.1426709172822873,VALID
2357,static_lcmd,V2_MAE,3.3475584572167705,3.676657889386733,0.5235218013318226,2.1426709172822873,VALID
2357,adaptive_lcmd,V1_R2,0.8276092516779978,0.7365065169543376,0.8799496042767616,0.8728246263980535,VALID
2357,random,V1_R2,0.6360681684636589,0.6070313749175865,0.37139288038568047,0.8728246263980535,VALID
2357,static_lcmd,V1_R2,0.7587673460004213,0.6639674835398954,0.6971689003656841,0.8728246263980535,VALID
2357,adaptive_lcmd,V2_R2,0.9060740618594074,0.803534067447291,0.9360884212404068,0.9279228620930552,VALID
2357,random,V2_R2,0.7530623247307684,0.7179832863281865,0.4885022112855507,0.9279228620930552,VALID
2357,static_lcmd,V2_R2,0.8151850706819395,0.7740924102693402,0.670222156003888,0.9279228620930552,VALID
6101,adaptive_lcmd,combined_normalized_RMSE,0.5666942474753714,0.7728264991701692,0.8528180424113052,0.5004181197191122,VALID
6101,random,combined_normalized_RMSE,0.7936594063169912,0.8261104066095857,0.34878774502290955,0.5004181197191122,VALID
6101,static_lcmd,combined_normalized_RMSE,0.5887481812604314,0.7772314620979042,0.8038420195670916,0.5004181197191122,VALID
6101,adaptive_lcmd,V1_RMSE,3.2991857385699337,4.646526474810305,0.9358019748171992,3.1388732859265502,VALID
6101,random,V1_RMSE,4.7559430738105455,4.882362797563142,0.35243528962871373,3.1388732859265502,VALID
6101,static_lcmd,V1_RMSE,3.618592292277648,4.733840377674385,0.8078938202080646,3.1388732859265502,VALID
6101,adaptive_lcmd,V2_RMSE,6.461545030899224,8.414212001019038,0.7467471755133853,5.066776864242235,VALID
6101,random,V2_RMSE,8.68841759003882,9.226945268832166,0.34240631166534163,5.066776864242235,VALID
6101,static_lcmd,V2_RMSE,6.186771587326957,8.28868719919022,0.7966387290648103,5.066776864242235,VALID
6101,adaptive_lcmd,V1_MAE,1.6681747127779951,2.2594765162582306,0.8622729169350183,1.5052658419529026,VALID
6101,random,V1_MAE,2.327873985830257,2.468773345095362,0.30454726260200576,1.5052658419529026,VALID
6101,static_lcmd,V1_MAE,1.967003932102121,2.313321702643264,0.6096354975996051,1.5052658419529026,VALID
6101,adaptive_lcmd,V2_MAE,3.1107923201233936,4.095294012726068,0.7206616075713281,2.4201674907327555,VALID
6101,random,V2_MAE,3.98808596402907,4.360144176814768,0.36582091006450695,2.4201674907327555,VALID
6101,static_lcmd,V2_MAE,3.392399769606922,4.077636563692161,0.6067592847949012,2.4201674907327555,VALID
6101,adaptive_lcmd,V1_R2,0.8203871666617069,0.6332174022859287,0.9528985427657605,0.8374183978293546,VALID
6101,random,V1_R2,0.6267523116929253,0.6053884293632907,0.4173833031103103,0.8374183978293546,VALID
6101,static_lcmd,V1_R2,0.7839256880124785,0.6226240288276481,0.8520609250745572,0.8374183978293546,VALID
6101,adaptive_lcmd,V2_R2,0.8036448075063454,0.6572671777821016,0.813337632251189,0.8792649969389041,VALID
6101,random,V2_R2,0.6449814775584393,0.5984046757465641,0.4216899378295799,0.8792649969389041,VALID
6101,static_lcmd,V2_R2,0.8199895139478585,0.6674528643000391,0.8536832281486052,0.8792649969389041,VALID
12203,adaptive_lcmd,combined_normalized_RMSE,0.3836271381986464,0.4744013226109641,0.778126491019885,0.3047183724924589,VALID
12203,random,combined_normalized_RMSE,0.595754590790617,0.6169855765742782,0.18167232225441218,0.3047183724924589,VALID
12203,static_lcmd,combined_normalized_RMSE,0.4105576354982652,0.46883444762503473,0.7024040553567278,0.3047183724924589,VALID
12203,adaptive_lcmd,V1_RMSE,3.542172084650019,4.255854289035452,0.7893091518262578,3.003761358548961,VALID
12203,random,V1_RMSE,5.1470228257956565,5.254327510789613,0.16129907057693346,3.003761358548961,VALID
12203,static_lcmd,V1_RMSE,3.7834558924667974,4.093793380260459,0.6948899888061559,3.003761358548961,VALID
12203,adaptive_lcmd,V2_RMSE,5.0681434167769535,6.59606717358336,0.7513183109969448,3.3874374946757637,VALID
12203,random,V2_RMSE,8.834953001917357,9.331128553670021,0.19397121209785767,3.3874374946757637,VALID
12203,static_lcmd,V2_RMSE,5.445903635261291,6.833680149116402,0.6954239109502053,3.3874374946757637,VALID
12203,adaptive_lcmd,V1_MAE,1.844320547094734,2.281439379779555,0.6326220541705093,1.3310772863795146,VALID
12203,random,V1_MAE,2.528397592709219,2.6136873835711167,0.14296181107887695,1.3310772863795146,VALID
12203,static_lcmd,V1_MAE,1.993444522221883,2.1498475681820652,0.5258795719023626,1.3310772863795146,VALID
12203,adaptive_lcmd,V2_MAE,2.9353315412855263,3.71179195767541,0.6926307261448327,1.9424018917038,VALID
12203,random,V2_MAE,4.444690780959827,4.64095067611987,0.225396563401572,1.9424018917038,VALID
12203,static_lcmd,V2_MAE,3.1376857937668725,3.7170357538212975,0.6299903571389345,1.9424018917038,VALID
12203,adaptive_lcmd,V1_R2,0.7566892358733456,0.6395426221434862,0.8389382163566701,0.8250343225879664,VALID
12203,random,V1_R2,0.4862708621198193,0.46397612369658725,0.2016712568671854,0.8250343225879664,VALID
12203,static_lcmd,V1_R2,0.7224128480343928,0.6666976524751498,0.7581626050059381,0.8250343225879664,VALID
12203,adaptive_lcmd,V2_R2,0.8810583583741053,0.7848616332390524,0.8446245716260755,0.9468652407571576,VALID
12203,random,V2_R2,0.6385530006695666,0.5953698494874933,0.2720495996499179,0.9468652407571576,VALID
12203,static_lcmd,V2_R2,0.8626666414608894,0.7728938682373777,0.8012002246514071,0.9468652407571576,VALID
