sample_id,canonical_smiles,canonical_index,role,outer_seed,study
c32ed74eba9d7dfc4860,CC(C)CCOC(=O)c1ccccc1,0,test,8191,qgeognn_v2_row_lcmd
9a478db27ef04d7bb59c,CC(C)CCOC(=O)c1ccccc1,1,u0,8191,qgeognn_v2_row_lcmd
bfe9ce431b45599fd5e6,CC(C)CCOC(=O)c1ccccc1,2,u0,8191,qgeognn_v2_row_lcmd
00024cd15c1b4e6c6ef8,CC(C)CCOC(=O)c1ccccc1,3,u0,8191,qgeognn_v2_row_lcmd
85c21f6446e32913c1a9,CC(C)CCOC(=O)c1ccccc1,4,validation,8191,qgeognn_v2_row_lcmd
8a288da5928f08936524,CC(C)CCOC(=O)c1ccccc1,5,test,8191,qgeognn_v2_row_lcmd
7937e75a777f4bf48438,CC(C)CCOC(=O)c1ccccc1,6,u0,8191,qgeognn_v2_row_lcmd
aba0560d15516aeba617,CC(C)CCOC(=O)c1ccccc1,7,u0,8191,qgeognn_v2_row_lcmd
0956abfd4514355d5383,CC(C)CCOC(=O)c1ccccc1,8,u0,8191,qgeognn_v2_row_lcmd
98f205d21cdccb427f9e,CC(C)CCOC(=O)c1ccccc1,9,validation,8191,qgeognn_v2_row_lcmd
16374e5b25572a4c37e5,CC(C)CCOC(=O)c1ccccc1,10,test,8191,qgeognn_v2_row_lcmd
26b3dfccf0d1cfb441c7,CC(C)CCOC(=O)c1ccccc1,11,u0,8191,qgeognn_v2_row_lcmd
a62a679c00aad3b9b8e5,CC(C)CCOC(=O)c1ccccc1,12,u0,8191,qgeognn_v2_row_lcmd
6c387793968257d2f169,CCOC(=O)c1ccc(Cl)cc1,13,u0,8191,qgeognn_v2_row_lcmd
812adebe27af25dc2242,CCOC(=O)c1ccc(Cl)cc1,14,test,8191,qgeognn_v2_row_lcmd
f159b69487cebc7dcf97,CCOC(=O)c1ccc(Cl)cc1,15,u0,8191,qgeognn_v2_row_lcmd
19ac0f010c25e2c5360d,CCOC(=O)c1ccc(Cl)cc1,16,u0,8191,qgeognn_v2_row_lcmd
0fb4ba3b33f8740a6a8a,CCOC(=O)c1ccc(Cl)cc1,17,u0,8191,qgeognn_v2_row_lcmd
d15ae6c5a25f630d3055,CCOC(=O)c1ccc(Cl)cc1,18,u0,8191,qgeognn_v2_row_lcmd
e1b9d0166a4779c27067,CCOC(=O)c1ccc(Cl)cc1,19,u0,8191,qgeognn_v2_row_lcmd
d9481b0f826e3bfbbb60,CCOC(=O)c1ccc(Cl)cc1,20,u0,8191,qgeognn_v2_row_lcmd
ab49ee9538cdb7f47f70,CCOC(=O)c1ccc(Cl)cc1,21,validation,8191,qgeognn_v2_row_lcmd
b7e013953a302595b447,CCOC(=O)c1ccc(Cl)cc1,22,u0,8191,qgeognn_v2_row_lcmd
585d3167bdb0e8cd6b97,CCOC(=O)c1ccc(Cl)cc1,23,u0,8191,qgeognn_v2_row_lcmd
b819ee3c169e34252d65,CCOC(=O)c1ccc(Cl)cc1,24,validation,8191,qgeognn_v2_row_lcmd
89b6013d19ba95312c59,CCOC(=O)c1ccc(Cl)cc1,25,u0,8191,qgeognn_v2_row_lcmd
a8303fe76e948da2917b,CCOC(=O)c1ccc(Cl)cc1,26,u0,8191,qgeognn_v2_row_lcmd
c16aef24cbedd5b1b875,CCOC(=O)c1ccc(Cl)cc1,27,validation,8191,qgeognn_v2_row_lcmd
331a940debe2ca50c35d,CCOC(=O)c1ccc(Cl)cc1,28,u0,8191,qgeognn_v2_row_lcmd
66d759515aa12dcf0810,CC(C)COC(=O)c1ccccc1,29,u0,8191,qgeognn_v2_row_lcmd
ac76ec24edfe8aec7fb2,CC(C)COC(=O)c1ccccc1,30,u0,8191,qgeognn_v2_row_lcmd
0f3200ec8aae2a81902a,CC(C)COC(=O)c1ccccc1,31,u0,8191,qgeognn_v2_row_lcmd
daa955a2af22ac0c8460,CC(C)COC(=O)c1ccccc1,32,u0,8191,qgeognn_v2_row_lcmd
e19bda1298f299931245,CC(C)COC(=O)c1ccccc1,33,u0,8191,qgeognn_v2_row_lcmd
7a3708dd5094bb49d459,CC(C)COC(=O)c1ccccc1,34,u0,8191,qgeognn_v2_row_lcmd
ae6ebf89dbdd202b5247,CC(C)COC(=O)c1ccccc1,35,u0,8191,qgeognn_v2_row_lcmd
60f62af0f813d1d7e740,CC(C)COC(=O)c1ccccc1,36,u0,8191,qgeognn_v2_row_lcmd
7d508d405f154f326fdb,CC(C)COC(=O)c1ccccc1,37,u0,8191,qgeognn_v2_row_lcmd
008b682251848aa83f89,CC(C)COC(=O)c1ccccc1,38,u0,8191,qgeognn_v2_row_lcmd
04533c20becd80f9b771,CC(C)COC(=O)c1ccccc1,39,u0,8191,qgeognn_v2_row_lcmd
19e665b6098744dfb60c,CC(C)COC(=O)c1ccccc1,40,l0,8191,qgeognn_v2_row_lcmd
cb839ce268b9ea4fa20b,CC(C)COC(=O)c1ccccc1,41,test,8191,qgeognn_v2_row_lcmd
d0cc8f9af20c2aaeb9d5,CC(C)COC(=O)c1ccccc1,42,u0,8191,qgeognn_v2_row_lcmd
3016ab4b83227fcf83e4,CC(C)COC(=O)c1ccccc1,43,test,8191,qgeognn_v2_row_lcmd
