signal,mean_spearman,mean_auroc,mean_enrichment,mean_ause
ensemble,0.6246300847269015,0.9023814765817249,6.153846153846154,0.0569059644881772
latent_distance,0.5496118253367932,0.8476311877378213,4.822485207100591,0.07679831826291524
quantile_width,0.5487397716320896,0.9068091175307305,5.9171597633136095,0.06564336735713804
random,0.008012356673543277,0.4876308565171563,0.7396449704142012,0.2229170126104046
