sample_id,canonical_index,source_canonical_index,V1_q50,V2_q50,V1_q10,V1_q90,V2_q10,V2_q90,checkpoint_sha256,ensemble_pred_V1,ensemble_pred_V2,ensemble_variance_V1,ensemble_variance_V2,ensemble_covariance_V1_V2,ensemble_score,V1_quantile_width,V2_quantile_width,quantile_width,member_0_seed,member_0_V1_q50,member_0_V2_q50,member_1_seed,member_1_V1_q50,member_1_V2_q50,member_2_seed,member_2_V1_q50,member_2_V2_q50,latent_distance,random_score,true_V1,true_V2,standardized_abs_error,ensemble_mean_standardized_abs_error,tail_flag,compound_id,outer_seed,split_mode,slice,round,strategy,seed
70cba7a21b5a01fb8e73,1499,1499,105.02337,169.41147,80.11508,105.02357,14.2034,169.41147,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,78.47549947102864,130.73185221354166,8.55171795962434,3.8917132503097265,5.562817212449597,12.443431209934065,24.908485,155.20807,6.10223,4200,105.02336883544922,169.41146850585938,4201,71.23234558105469,111.00342559814453,4202,59.17078399658203,111.7806625366211,44.81666307771914,0.7226864645919183,46.675,78.06666666666666,6.278914998008464,3.506913776436562,False,c1ccc(CNCc2ccccc2)cc1,42,compound,u0_full,1,ensemble,42
942b8fc9cf013acda52b,1500,1500,105.02337,169.41147,80.11508,105.02357,14.2034,169.41147,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,78.47549947102864,130.73185221354166,8.55171795962434,3.8917132503097265,5.562817212449597,12.443431209934065,24.908485,155.20807,6.10223,4200,105.02336883544922,169.41146850585938,4201,71.23234558105469,111.00342559814453,4202,59.17078399658203,111.7806625366211,44.82507088972109,0.957990229376966,46.125,68.01666666666667,6.60866199757093,3.8366607759990288,False,c1ccc(CNCc2ccccc2)cc1,42,compound,u0_full,1,ensemble,42
252c027cf5a42b92c953,1497,1497,71.11781,118.97441,58.036854,71.19556,12.00251,118.97441,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,50.00628153483073,87.43235524495442,5.525852240288531,2.5912745321366386,3.5770468230146375,8.11712677242517,13.158703,106.9719,3.959161,4200,71.11781311035156,118.97441101074219,4201,44.999244689941406,70.63272094726562,4202,33.90178680419922,72.68993377685547,22.94462179303856,0.9541281751347137,22.066666666666663,37.18333333333333,5.42568769012712,3.1982664441542203,False,c1ccc(CNCc2ccccc2)cc1,42,compound,u0_full,1,ensemble,42
89d752b5a7f7c8d0b91e,1498,1498,71.11781,118.97441,58.036854,71.19556,12.00251,118.97441,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,50.00628153483073,87.43235524495442,5.525852240288531,2.5912745321366386,3.5770468230146375,8.11712677242517,13.158703,106.9719,3.959161,4200,71.11781311035156,118.97441101074219,4201,44.999244689941406,70.63272094726562,4202,33.90178680419922,72.68993377685547,22.961969882166333,0.5134351222278446,23.208333333333332,39.84166666666667,5.27718485465998,3.04976360868708,False,c1ccc(CNCc2ccccc2)cc1,42,compound,u0_full,1,ensemble,42
d5234e966aa231be05e5,1496,1496,71.11781,118.97441,58.036854,71.19556,12.00251,118.97441,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,50.00628153483073,87.43235524495442,5.525852240288531,2.5912745321366386,3.5770468230146375,8.11712677242517,13.158703,106.9719,3.959161,4200,71.11781311035156,118.97441101074219,4201,44.999244689941406,70.63272094726562,4202,33.90178680419922,72.68993377685547,22.963984981247155,0.5828212737647007,7.241666666666666,13.666666666666666,7.030087257296988,4.802666011324089,False,c1ccc(CNCc2ccccc2)cc1,42,compound,u0_full,1,ensemble,42
9ffee2813aef5c26f96f,3934,3934,66.533875,124.08617,52.091663,66.948906,9.555717,124.08617,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,48.15057118733724,94.90549723307292,4.001905179963713,2.3149573341636738,3.0436835687727046,6.316862514127386,14.857243,114.53045,4.286203,4200,66.53387451171875,124.08616638183594,4201,35.65388488769531,74.93742370605469,4202,42.263954162597656,85.69290161132812,18.157030182635655,0.7707285993877199,43.108333333333334,119.2,1.5849105879933498,1.0255074548701306,False,C/C(=N\O)c1ccccc1,42,compound,u0_full,1,ensemble,42
efd84dffe823b6298db6,3935,3935,66.533875,124.08617,52.091663,66.948906,9.555717,124.08617,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,48.15057118733724,94.90549723307292,4.001905179963713,2.3149573341636738,3.0436835687727046,6.316862514127386,14.857243,114.53045,4.286203,4200,66.53387451171875,124.08616638183594,4201,35.65388488769531,74.93742370605469,4202,42.263954162597656,85.69290161132812,18.175509284484768,0.731040394161748,37.56666666666667,118.0,1.9611437820669066,1.331074788848678,False,C/C(=N\O)c1ccccc1,42,compound,u0_full,1,ensemble,42
2f48e798c7917fb7d2ae,3932,3932,55.897495,103.057304,44.204773,56.32328,8.554451,103.057304,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,37.632994969685875,75.28930536905925,3.8045290014289903,2.0137721179717407,2.7679185603269856,5.818301119400731,12.118507,94.50285,3.5280328,4200,55.89749526977539,103.05730438232422,4201,27.428756713867188,59.85419845581055,4202,29.57273292541504,62.95641326904297,13.109946385610902,0.9735723507457309,17.683333333333334,45.31666666666667,4.050897755684657,2.1097377579464043,False,C/C(=N\O)c1ccccc1,42,compound,u0_full,1,ensemble,42
79cb1738d945317e5bfa,3931,3931,55.897495,103.057304,44.204773,56.32328,8.554451,103.057304,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,37.632994969685875,75.28930536905925,3.8045290014289903,2.0137721179717407,2.7679185603269856,5.818301119400731,12.118507,94.50285,3.5280328,4200,55.89749526977539,103.05730438232422,4201,27.428756713867188,59.85419845581055,4202,29.57273292541504,62.95641326904297,13.141987433021033,0.6039234175409474,20.683333333333337,45.583333333333336,3.8584984820994284,1.917338484361176,False,C/C(=N\O)c1ccccc1,42,compound,u0_full,1,ensemble,42
a38fee52661fd3e3b7ea,3933,3933,55.897495,103.057304,44.204773,56.32328,8.554451,103.057304,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,37.632994969685875,75.28930536905925,3.8045290014289903,2.0137721179717407,2.7679185603269856,5.818301119400731,12.118507,94.50285,3.5280328,4200,55.89749526977539,103.05730438232422,4201,27.428756713867188,59.85419845581055,4202,29.57273292541504,62.95641326904297,13.137271092646596,0.41085045673031506,16.433333333333334,45.7,4.116505643871891,2.1753456461336387,False,C/C(=N\O)c1ccccc1,42,compound,u0_full,1,ensemble,42
