sample_id,canonical_index,source_canonical_index,V1_q50,V2_q50,V1_q10,V1_q90,V2_q10,V2_q90,checkpoint_sha256,ensemble_pred_V1,ensemble_pred_V2,ensemble_variance_V1,ensemble_variance_V2,ensemble_covariance_V1_V2,ensemble_score,V1_quantile_width,V2_quantile_width,quantile_width,member_0_seed,member_0_V1_q50,member_0_V2_q50,member_1_seed,member_1_V1_q50,member_1_V2_q50,member_2_seed,member_2_V1_q50,member_2_V2_q50,latent_distance,random_score,true_V1,true_V2,standardized_abs_error,ensemble_mean_standardized_abs_error,tail_flag,compound_id,round,strategy,seed
b4351e5f05f6d477a6c0,831,831,24.776646,49.586216,13.852081,28.966015,20.224,49.586216,3aa02aa1bacae68b58fa2f548e5e7849d250533c41bdfc8a3395d1555fddef09,18.719133694966633,36.002142588297524,0.8877852781628776,0.7159727071271483,0.7874420666068422,1.603757985290026,15.113934,29.362215,1.742727,110100,24.77664566040039,49.58621597290039,110101,9.960650444030762,19.84549331665039,110102,21.42010498046875,38.5747184753418,6.867299704041022,0.9650869139679462,35.416666666666664,47.96666666666667,1.3492452053156745,1.3492452053156745,False,C=CC(=O)OCCOc1ccccc1,6,ensemble,1101
25fcfe22a4504f391482,2394,2394,13.268326,28.150316,6.2341785,17.55675,10.62652,28.150316,3aa02aa1bacae68b58fa2f548e5e7849d250533c41bdfc8a3395d1555fddef09,17.195529619852703,37.029998143514,0.7712860401782038,0.4418074011052837,0.5696739552275983,1.2130934412834875,11.322571,17.523796,1.1797082,110100,13.268325805664062,28.15031623840332,110101,12.766692161560059,32.50444793701172,110102,25.551570892333984,50.43523025512695,4.962555778291711,0.23835260280485626,27.65,51.24166666666667,1.0338703634637498,1.0338703634637498,False,COC(=O)Cc1cccc2ccccc12,6,ensemble,1101
67fa39740fcf946a3154,2395,2395,13.268326,28.150316,6.2341785,17.55675,10.62652,28.150316,3aa02aa1bacae68b58fa2f548e5e7849d250533c41bdfc8a3395d1555fddef09,17.195529619852703,37.029998143514,0.7712860401782038,0.4418074011052837,0.5696739552275983,1.2130934412834875,11.322571,17.523796,1.1797082,110100,13.268325805664062,28.15031623840332,110101,12.766692161560059,32.50444793701172,110102,25.551570892333984,50.43523025512695,5.126104538751333,0.8071796525547228,25.741666666666667,51.291666666666664,0.9195487776084224,0.9195487776084224,False,COC(=O)Cc1cccc2ccccc12,6,ensemble,1101
c80022254967f6a925f3,2393,2393,13.268326,28.150316,6.2341785,17.55675,10.62652,28.150316,3aa02aa1bacae68b58fa2f548e5e7849d250533c41bdfc8a3395d1555fddef09,17.195529619852703,37.029998143514,0.7712860401782038,0.4418074011052837,0.5696739552275983,1.2130934412834875,11.322571,17.523796,1.1797082,110100,13.268325805664062,28.15031623840332,110101,12.766692161560059,32.50444793701172,110102,25.551570892333984,50.43523025512695,4.947264950978722,0.386124024798301,30.458333333333332,50.78333333333333,1.1912820597724343,1.1912820597724343,False,COC(=O)Cc1cccc2ccccc12,6,ensemble,1101
9ffee2813aef5c26f96f,3934,3934,22.389198,57.68842,12.9606,32.04509,18.729706,57.68842,3aa02aa1bacae68b58fa2f548e5e7849d250533c41bdfc8a3395d1555fddef09,27.708903630574543,69.63254928588867,0.5607659426002403,0.5632807967607978,0.5614444924619939,1.124046739361038,19.08449,38.958714,2.2535322,110100,22.389198303222656,57.688419342041016,110101,34.47914505004883,84.02347564697266,110102,26.25836753845215,67.18575286865234,5.968217521007091,0.055401635634197754,43.108333333333334,119.2,2.328553443578029,2.328553443578029,False,C/C(=N\O)c1ccccc1,6,ensemble,1101
efd84dffe823b6298db6,3935,3935,22.389198,57.68842,12.9606,32.04509,18.729706,57.68842,3aa02aa1bacae68b58fa2f548e5e7849d250533c41bdfc8a3395d1555fddef09,27.708903630574543,69.63254928588867,0.5607659426002403,0.5632807967607978,0.5614444924619939,1.124046739361038,19.08449,38.958714,2.2535322,110100,22.389198303222656,57.688419342041016,110101,34.47914505004883,84.02347564697266,110102,26.25836753845215,67.18575286865234,5.922305038550773,0.5505336751626483,37.56666666666667,118.0,1.9587218768231731,1.9587218768231731,False,C/C(=N\O)c1ccccc1,6,ensemble,1101
52b9af4df1f1e7cd4d9b,3757,3757,23.419441,48.131897,12.152053,26.917604,17.391474,48.131897,3aa02aa1bacae68b58fa2f548e5e7849d250533c41bdfc8a3395d1555fddef09,27.159798940022785,56.61855951944987,0.5120830834774166,0.4442343755305912,0.47509836494685,0.9563174590080078,14.765552,30.740423,1.7603784,110100,23.41944122314453,48.13189697265625,110101,24.098682403564453,51.57406997680664,110102,33.961273193359375,70.14971160888672,4.85765281416911,0.27288048379897634,11.65,23.65,1.8682051872328507,1.8682051872328507,False,COc1ccccc1C(C)=O,6,ensemble,1101
a3ae677aae8a8faf5786,3758,3758,23.419441,48.131897,12.152053,26.917604,17.391474,48.131897,3aa02aa1bacae68b58fa2f548e5e7849d250533c41bdfc8a3395d1555fddef09,27.159798940022785,56.61855951944987,0.5120830834774166,0.4442343755305912,0.47509836494685,0.9563174590080078,14.765552,30.740423,1.7603784,110100,23.41944122314453,48.13189697265625,110101,24.098682403564453,51.57406997680664,110102,33.961273193359375,70.14971160888672,4.869375376340637,0.387456259769828,35.44166666666667,35.516666666666666,1.0959852587459116,1.0959852587459116,False,COc1ccccc1C(C)=O,6,ensemble,1101
c82167c626a1495ef750,3759,3759,23.419441,48.131897,12.152053,26.917604,17.391474,48.131897,3aa02aa1bacae68b58fa2f548e5e7849d250533c41bdfc8a3395d1555fddef09,27.159798940022785,56.61855951944987,0.5120830834774166,0.4442343755305912,0.47509836494685,0.9563174590080078,14.765552,30.740423,1.7603784,110100,23.41944122314453,48.13189697265625,110101,24.098682403564453,51.57406997680664,110102,33.961273193359375,70.14971160888672,5.0213292280777475,0.34184776854591836,1.0083333333333333,23.708333333333332,2.5119141150283566,2.5119141150283566,False,COc1ccccc1C(C)=O,6,ensemble,1101
a6145bb0c9947f9515df,2563,2563,21.352148,45.366592,12.426463,27.820774,13.699415,45.366592,3aa02aa1bacae68b58fa2f548e5e7849d250533c41bdfc8a3395d1555fddef09,29.188444137573242,55.762349446614586,0.6787353690766318,0.2586036309298446,0.4154759965843574,0.9373390000064764,15.394311,31.667177,1.8245847,110100,21.352148056030273,45.36659240722656,110101,33.39541244506836,60.18014144897461,110102,32.817771911621094,61.74031448364258,5.9545769878882515,0.4624307982419762,27.8,52.06666666666667,0.1881854992745054,0.1881854992745054,False,OCc1ccc2ccccc2c1,6,ensemble,1101
