outer_seed,batch_size,arm,cohort,active_label_count,shared_validation_label_count,combined_normalized_RMSE,V1_RMSE,V1_MAE,V1_R2,V2_RMSE,V2_MAE,V2_R2,baseline_L0_NRMSE,gain
157,32,hybrid,confirmation,365,416,0.705163080229485,4.9387677715771705,2.5068059356378423,0.559365034575009,8.504551445066937,4.329507388085198,0.6833156897989413,0.7552330820189761,0.05007000178949106
887,32,hybrid,confirmation,365,416,0.5104191949652344,4.3773959647252685,2.1991338398245026,0.5391478901671667,8.4424129517109,4.512205670491682,0.5993522614932321,0.5204941272733221,0.010074932308087758
2357,32,hybrid,confirmation,365,416,0.6591396448599953,5.270953528315666,2.6883148506676835,0.4815192603833863,9.68671987875174,4.814385176276703,0.56592400192112,0.6469510477102246,-0.012188597149770719
6101,32,hybrid,confirmation,365,416,0.8937694649283042,5.295873920811529,2.474208404691957,0.5371938666795313,9.947632890228132,4.7447035009626575,0.5346184743669721,0.9507187465219588,0.05694928159365453
12203,32,hybrid,confirmation,365,416,0.5948089403649972,5.112753232393807,2.450262973634459,0.49308904810351006,8.885550653276555,4.712203334561355,0.634401142053115,0.6603659036867284,0.06555696332173122
