outer_seed,Random_mean_NRMSE,Random_median_NRMSE,Hybrid_NRMSE,LCMD_NRMSE,Hybrid_vs_Random_mean,Hybrid_vs_Random_median,Hybrid_vs_LCMD,LCMD_vs_Hybrid,Hybrid_beats_Random_median,Hybrid_beats_LCMD,LCMD_beats_Hybrid
157,0.7659864317484739,0.7561792833576271,0.705163080229485,0.7228472492098076,0.06082335151898888,0.051016203128142035,0.017684168980322545,-0.017684168980322545,True,True,False
887,0.49773516653223443,0.5058080713135995,0.5104191949652344,0.4452173381296712,-0.012684028432999928,-0.004611123651634852,-0.06520185683556318,0.06520185683556318,False,False,True
2357,0.6416822553181953,0.6431874369077984,0.6591396448599953,0.6133004209631526,-0.017457389541799984,-0.015952207952196873,-0.045839223896842696,0.045839223896842696,False,False,True
6101,0.9582628799809498,0.9540969473460112,0.8937694649283042,0.919869566010179,0.06449341505264561,0.06032748241770702,0.02610010108187477,-0.02610010108187477,True,True,False
12203,0.6109356236126557,0.609600560641201,0.5948089403649972,0.6144965698120708,0.016126683247658535,0.014791620276203843,0.019687629447073585,-0.019687629447073585,True,True,False
