outer_seed,hybrid_lcmd_overlap_count,hybrid_lcmd_overlap_fraction,lcmd_outside_hybrid_shortlist_count,lcmd_outside_hybrid_shortlist_fraction,shortlist_size,hybrid_all_from_shortlist
157,6,0.1875,2,0.0625,750,True
887,3,0.09375,2,0.0625,750,True
2357,8,0.25,6,0.1875,750,True
6101,4,0.125,1,0.03125,750,True
12203,4,0.125,7,0.21875,750,True
