outer_seed,method,batch_size,mean_ensemble_uncertainty,mean_gradient_norm,mean_nearest_l0_gradient_distance,mean_nearest_l0_latent_distance,unique_compounds,exact_X_duplicate_rate,mean_predicted_V1_q50,mean_predicted_V2_q50,mean_molecular_weight,mean_atom_count,mean_nearest_l0_condition_distance,mean_uncertainty_rank,fraction_within_top25
157,Gradient-LCMD,32,0.6791543893526711,379.15853026655975,242.26190826065445,32.44501549311863,27,0.0,20.966045379638672,42.750755310058594,177.08106249999997,12.1875,0.21612000542042564,228.4375,0.9375
157,Hybrid,32,0.7691745179297231,392.2164251826223,224.7345662050143,41.83115657911549,25,0.0,23.049373626708984,51.23795700073242,187.501875,13.40625,0.20989904184817684,175.21875,1.0
887,Gradient-LCMD,32,0.5791308976799752,383.1554912767099,191.70846658411432,21.66086443341583,28,0.0,25.098636627197266,50.501007080078125,167.09153124999997,12.03125,0.18794132366863828,214.03125,0.9375
887,Hybrid,32,0.5475098352013904,319.43917745854685,146.44852583979716,33.13546718746702,25,0.0,30.038860321044922,63.87995529174805,176.64171875,12.5,0.5101133096949375,226.875,1.0
2357,Gradient-LCMD,32,0.5389477176474823,492.072050493099,286.6578669520261,35.37476471124547,30,0.0,21.470714569091797,46.59130096435547,167.98287499999998,11.53125,0.19121393917077956,413.375,0.8125
2357,Hybrid,32,0.5301881799931208,397.46440626964636,218.05231917403026,47.98276293622632,28,0.0,21.29924964904785,48.10795593261719,204.65509375,13.59375,0.12082649696974403,244.75,1.0
6101,Gradient-LCMD,32,0.5763351865970784,379.548618310692,239.77227314159182,30.56653415416534,32,0.0,14.729068756103516,33.9708366394043,171.75046874999998,12.125,0.20379520034697512,246.71875,0.96875
6101,Hybrid,32,0.7788225840104838,370.9654384112626,219.02502107341826,44.109419082349305,26,0.0,17.203750610351562,42.569454193115234,189.50753125,13.46875,0.40631220681060937,179.34375,1.0
12203,Gradient-LCMD,32,0.4904738940139509,363.29585182549965,239.4540035971591,25.387146016246504,29,0.0,19.740333557128906,41.63877868652344,183.44106250000002,12.0625,0.2873498596475027,413.875,0.78125
12203,Hybrid,32,0.5952741662912913,352.4845196165093,206.78956160375628,36.18963185610761,25,0.0,21.779644012451172,53.599449157714844,185.247875,12.4375,0.2470518038745115,198.125,1.0
