method,n_fits,n_outer_seeds,mean_combined_normalized_RMSE,mean_V1_RMSE,mean_V1_MAE,mean_V1_R2,mean_V2_RMSE,mean_V2_MAE,mean_V2_R2
Random,25,5,0.6949204714385018,5.136487812113805,2.62817475458415,0.4965726847952274,9.340195565222205,4.780772784059282,0.5818984423931893
Hybrid,5,5,0.6726600650696032,4.999148883564688,2.463745200891289,0.5220630199817207,9.093373563806853,4.622601014075519,0.6035223139266761
Gradient-LCMD,5,5,0.6631462288249763,4.907886426828963,2.4889432305912322,0.5408728641096218,8.894683739681579,4.481230445331235,0.6207677473890467
