scope,method,NRMSE_at_365,rank_at_365,NRMSE_at_429,rank_at_429,AULC_333_429,rank_by_AULC
157,center_width_lcmd,0.695086838927538,1,0.6406454446595926,1,0.6960861199286157,1
157,direction_lcmd,0.718815376227335,2,0.7112680549495735,2,0.7351705877813949,2
6101,center_width_lcmd,0.9805311051180188,2,0.8128922825898254,1,0.9138277936786499,1
6101,direction_lcmd,0.9229940854697694,1,0.9088612488637356,2,0.9239249932972392,2
2-seed mean,center_width_lcmd,0.8378089720227784,2,0.7267688636247089,1,0.8049569568036328,1
2-seed mean,direction_lcmd,0.8209047308485522,1,0.8100646519066546,2,0.829547790539317,2
