outer_seed,method,comparator,method_AULC_333_429,comparator_AULC_333_429,method_minus_comparator_AULC,method_NRMSE_at_429,comparator_NRMSE_at_429,method_minus_comparator_NRMSE_at_429,lower_is_better
157,center_width_lcmd,lcmd,0.6960861199286157,0.724906281189603,-0.028820161260987298,0.6406454446595926,0.6852433230171132,-0.044597878357520604,True
157,center_width_lcmd,gradient_maxdet,0.6960861199286157,0.6865386815566653,0.009547438371950379,0.6406454446595926,0.613015314441579,0.027630130218013638,True
157,direction_lcmd,lcmd,0.7351705877813949,0.724906281189603,0.010264306591791894,0.7112680549495735,0.6852433230171132,0.026024731932460243,True
157,direction_lcmd,gradient_maxdet,0.7351705877813949,0.6865386815566653,0.04863190622472957,0.7112680549495735,0.613015314441579,0.09825274050799448,True
6101,center_width_lcmd,lcmd,0.9138277936786499,0.9246690521181392,-0.010841258439489354,0.8128922825898254,0.868923441166228,-0.05603115857640262,True
6101,center_width_lcmd,gradient_maxdet,0.9138277936786499,0.8438899689208604,0.06993782475778942,0.8128922825898254,0.7939608685196798,0.018931414070145536,True
6101,direction_lcmd,lcmd,0.9239249932972392,0.9246690521181392,-0.0007440588209000065,0.9088612488637356,0.868923441166228,0.039937807697507655,True
6101,direction_lcmd,gradient_maxdet,0.9239249932972392,0.8438899689208604,0.08003502437637877,0.9088612488637356,0.7939608685196798,0.11490038034405581,True
2-seed mean,center_width_lcmd,gradient_maxdet,0.8049569568036328,0.7652143252387629,0.0397426315648699,0.7267688636247089,0.7034880914806294,0.023280772144079587,True
2-seed mean,center_width_lcmd,lcmd,0.8049569568036328,0.8247876666538712,-0.019830709850238326,0.7267688636247089,0.7770833820916706,-0.05031451846696161,True
2-seed mean,direction_lcmd,gradient_maxdet,0.829547790539317,0.7652143252387629,0.06433346530055417,0.8100646519066546,0.7034880914806294,0.10657656042602515,True
2-seed mean,direction_lcmd,lcmd,0.829547790539317,0.8247876666538712,0.004760123885445944,0.8100646519066546,0.7770833820916706,0.03298126981498395,True
