outer_seed,method,start_active_labels,stop_active_labels,AULC_333_429
157,center_width_lcmd,333,429,0.6960861199286157
157,direction_lcmd,333,429,0.7351705877813949
157,gradient_maxdet,333,429,0.6865386815566653
157,hybrid,333,429,0.6978975735896172
157,kernel_ivr,333,429,0.7340320052731523
157,lcmd,333,429,0.724906281189603
157,random,333,429,0.8062952673617669
6101,center_width_lcmd,333,429,0.9138277936786499
6101,direction_lcmd,333,429,0.9239249932972392
6101,gradient_maxdet,333,429,0.8438899689208604
6101,hybrid,333,429,0.8824579551610281
6101,kernel_ivr,333,429,0.8289219435964651
6101,lcmd,333,429,0.9246690521181392
6101,random,333,429,0.8797479637627719
