method,active_label_count,combined_normalized_RMSE,V1_RMSE,V1_MAE,V1_R2,V2_RMSE,V2_MAE,V2_R2
center_width_lcmd,333,0.8529759142704674,5.429356303085303,2.6507533174052798,0.4915396969311431,9.919499844208094,4.810769740911983,0.5491565060988396
center_width_lcmd,365,0.8378089720227784,5.313025149741723,2.6126643925262014,0.5125943863963276,9.720618242370195,4.88413611075861,0.5574779616617164
center_width_lcmd,397,0.7871895094405318,5.060288641089693,2.4985051918372836,0.5583027326866815,9.029157330974167,4.522405533767719,0.6258670876148718
center_width_lcmd,429,0.7267688636247089,4.762994118414589,2.3477317818063055,0.6085763883419879,8.101989120367215,4.137517123485355,0.6974693332230609
direction_lcmd,333,0.8529759142704674,5.429356303085303,2.6507533174052798,0.4915396969311431,9.919499844208094,4.810769740911983,0.5491565060988396
direction_lcmd,365,0.8209047308485522,5.271185937935954,2.609215759830795,0.5207469064410923,9.422214254223672,4.660645663881187,0.5914257205271714
direction_lcmd,397,0.836218357680838,5.4287729177915836,2.644119753254403,0.4911988393558025,9.484426872478089,4.719746438719386,0.588294884067666
direction_lcmd,429,0.8100646519066546,5.2569086695191345,2.5221377385320136,0.5232574316142451,9.162604627554064,4.423578090233197,0.6129222943141445
gradient_maxdet,333,0.8529759142704674,5.429356303085303,2.6507533174052798,0.4915396969311431,9.919499844208094,4.810769740911983,0.5491565060988396
gradient_maxdet,365,0.7965765929653412,5.1226178285906165,2.510827052793343,0.5460341091260223,9.184601580698818,4.481405023762362,0.6134084129829718
gradient_maxdet,397,0.7208343798753991,4.68782954809557,2.3077314537492017,0.6204150235904908,8.157935625255272,4.070649849139244,0.6945405616063081
gradient_maxdet,429,0.7034880914806294,4.629255529991931,2.287723406613302,0.6301410391010617,7.781117935315211,3.845298578985018,0.7179190374765609
hybrid,333,0.8529759142704674,5.429356303085303,2.6507533174052798,0.4915396969311431,9.919499844208094,4.810769740911983,0.5491565060988396
hybrid,365,0.8211478788441355,5.311280608927079,2.584550967319406,0.5127478446632588,9.373891469428319,4.5575196119807035,0.5979944724510841
hybrid,397,0.7818223773260871,5.143113203740157,2.4952284955292297,0.5433835411151655,8.649624857059571,4.21931404632916,0.6504517878058382
hybrid,429,0.6821501596410227,4.466171859060073,2.233197945485012,0.6558929717210832,7.578121997904109,3.804430000501857,0.7340141116227585
kernel_ivr,333,0.8529759142704674,5.429356303085303,2.6507533174052798,0.4915396969311431,9.919499844208094,4.810769740911983,0.5491565060988396
kernel_ivr,365,0.8135380106252637,5.209142712340071,2.49834817290592,0.5285334803099498,9.495099146763973,4.556515474113629,0.5905713074514519
kernel_ivr,397,0.7463906060353829,4.876319873806002,2.568437543847292,0.5844797398237,8.487904955655253,4.530077435701585,0.6723495048777671
kernel_ivr,429,0.7160286990170917,4.671488410692687,2.342136895913872,0.6224274092777224,8.070454988317692,4.177972379062387,0.6994807537968821
lcmd,333,0.8529759142704674,5.429356303085303,2.6507533174052798,0.4915396969311431,9.919499844208094,4.810769740911983,0.5491565060988396
lcmd,365,0.8213584076099933,5.296764607167145,2.6306257122140426,0.5159475897672384,9.38126903324437,4.607872332314507,0.5942397820844889
lcmd,397,0.8379749441705511,5.373288077484288,2.664882446650407,0.5019671325500887,9.62163341773417,4.861644137105781,0.5753120139378408
lcmd,429,0.7770833820916706,5.071021995309902,2.4861011116338863,0.5564282358621908,8.714534572090773,4.265932927600486,0.6512878622162785
random,333,0.8529759142704674,5.429356303085303,2.6507533174052798,0.4915396969311431,9.919499844208094,4.810769740911983,0.5491565060988396
random,365,0.8099280024914685,5.156415598956974,2.6751515299296207,0.5413005207159243,9.428185224061082,4.790808786305306,0.5937160766422322
random,397,0.8583456332422383,5.452741130034161,2.624099604517436,0.4778239238044948,10.199589126924698,4.865103438603792,0.5281613563502583
random,429,0.8686065076357352,5.542189888560439,2.685224459325667,0.45600230162347677,10.309973377078212,4.906610471739185,0.5166869800106286
