outer_seed,method,round,active_label_count,combined_normalized_RMSE,V1_RMSE,V1_MAE,V1_R2,V2_RMSE,V2_MAE,V2_R2
157,center_width_lcmd,0,333,0.7552330820189761,5.222683805149919,2.613402478128886,0.5072470735708294,9.264808762812883,4.7290128449456015,0.6241655027553434
157,center_width_lcmd,1,365,0.695086838927538,4.898261901144098,2.5891132280409193,0.5665632310435945,8.31101102219652,4.442450551963825,0.6975654254042458
157,center_width_lcmd,2,397,0.6952322575190248,4.87749722033025,2.5723121840890935,0.5702302866632185,8.365049059751797,4.348204960354226,0.6936197919064354
157,center_width_lcmd,3,429,0.6406454446595926,4.635658254542228,2.415922931629977,0.6117919209980094,7.35810492900568,3.8193536033447417,0.7629414217032995
157,direction_lcmd,0,333,0.7552330820189761,5.222683805149919,2.613402478128886,0.5072470735708294,9.264808762812883,4.7290128449456015,0.6241655027553434
157,direction_lcmd,1,365,0.718815376227335,5.058333160611571,2.5994365752743875,0.5377716209569066,8.611936438985841,4.515464329891068,0.6752678008329622
157,direction_lcmd,2,397,0.7534458186325746,5.349207310152223,2.650686127962254,0.4830832508155911,8.912141507273695,4.535236258015073,0.6522334000850072
157,direction_lcmd,3,429,0.7112680549495735,5.092613605407702,2.395373985349989,0.5314853261500359,8.306806114080299,3.9995721592891704,0.6978713780463199
157,gradient_maxdet,0,333,0.7552330820189761,5.222683805149919,2.613402478128886,0.5072470735708294,9.264808762812883,4.7290128449456015,0.6241655027553434
157,gradient_maxdet,1,365,0.7268037396879269,5.171224795163223,2.6232162013614206,0.5169094080142635,8.569488071143521,4.385953741965534,0.6784611314610383
157,gradient_maxdet,2,397,0.6486881067517913,4.653831547387686,2.353411883187237,0.6087421499817254,7.552578109680394,4.038859714421151,0.7502450105562086
157,gradient_maxdet,3,429,0.613015314441579,4.536415137537742,2.30644160266117,0.6282360040962196,6.772999504658401,3.5814168344584587,0.79914353743371
157,hybrid,0,333,0.7552330820189761,5.222683805149919,2.613402478128886,0.5072470735708294,9.264808762812883,4.7290128449456015,0.6241655027553434
157,hybrid,1,365,0.7440182050208847,5.271126932187659,2.669768691920548,0.4980635965819655,8.827951058025024,4.373794054813522,0.6587728682603684
157,hybrid,2,397,0.6804924988361001,5.058704464336235,2.56176975076433,0.5377037593066657,7.455193215413821,3.867971619256109,0.756644296593236
157,hybrid,3,429,0.5831309518047568,4.201836649426148,2.318982483957597,0.6810518590601213,6.742808522676657,3.745181515920077,0.8009302017992896
157,kernel_ivr,0,333,0.7552330820189761,5.222683805149919,2.613402478128886,0.5072470735708294,9.264808762812883,4.7290128449456015,0.6241655027553434
157,kernel_ivr,1,365,0.7789294831736777,5.419635397022585,2.6673434735487977,0.4693821118764558,9.478601474630468,4.5400574819075405,0.6066200237699473
