outer_seed,source_round,acquisition_round,active_labels_before_acquisition,method_a,method_b,overlap_count,overlap_fraction
157,0,1,333,center_width_lcmd,lcmd,13,0.40625
157,0,1,333,center_width_lcmd,gradient_maxdet,11,0.34375
157,0,1,333,direction_lcmd,lcmd,2,0.0625
157,0,1,333,direction_lcmd,gradient_maxdet,2,0.0625
157,0,1,333,center_width_lcmd,direction_lcmd,1,0.03125
157,1,2,365,center_width_lcmd,lcmd,3,0.09375
157,1,2,365,center_width_lcmd,gradient_maxdet,5,0.15625
157,1,2,365,direction_lcmd,lcmd,0,0.0
157,1,2,365,direction_lcmd,gradient_maxdet,1,0.03125
157,1,2,365,center_width_lcmd,direction_lcmd,1,0.03125
157,2,3,397,center_width_lcmd,lcmd,5,0.15625
157,2,3,397,center_width_lcmd,gradient_maxdet,2,0.0625
157,2,3,397,direction_lcmd,lcmd,1,0.03125
157,2,3,397,direction_lcmd,gradient_maxdet,1,0.03125
157,2,3,397,center_width_lcmd,direction_lcmd,1,0.03125
6101,0,1,333,center_width_lcmd,lcmd,10,0.3125
6101,0,1,333,center_width_lcmd,gradient_maxdet,8,0.25
6101,0,1,333,direction_lcmd,lcmd,1,0.03125
6101,0,1,333,direction_lcmd,gradient_maxdet,0,0.0
6101,0,1,333,center_width_lcmd,direction_lcmd,0,0.0
6101,1,2,365,center_width_lcmd,lcmd,5,0.15625
6101,1,2,365,center_width_lcmd,gradient_maxdet,3,0.09375
6101,1,2,365,direction_lcmd,lcmd,1,0.03125
6101,1,2,365,direction_lcmd,gradient_maxdet,2,0.0625
6101,1,2,365,center_width_lcmd,direction_lcmd,2,0.0625
6101,2,3,397,center_width_lcmd,lcmd,2,0.0625
6101,2,3,397,center_width_lcmd,gradient_maxdet,3,0.09375
6101,2,3,397,direction_lcmd,lcmd,0,0.0
6101,2,3,397,direction_lcmd,gradient_maxdet,1,0.03125
6101,2,3,397,center_width_lcmd,direction_lcmd,0,0.0
