sample_id,canonical_index,canonical_smiles,role,stage,protocol,seed
bbabdb9085edbb8c178b,0,CC(C)(CCl)c1ccccc1,u0,e4_8g,protocol_a_row,1101
96dc3dc2ebd074200228,1,CC(C)(CCl)c1ccccc1,u0,e4_8g,protocol_a_row,1101
6322e8f867a741eed74c,2,CC(C)(CCl)c1ccccc1,l0_train,e4_8g,protocol_a_row,1101
c2b0aff65443af0a8618,3,CC(C)(CCl)c1ccccc1,u0,e4_8g,protocol_a_row,1101
f4b69d88ad1d916ee71a,4,CC(C)(CCl)c1ccccc1,u0,e4_8g,protocol_a_row,1101
0f3559d035355b0eec80,5,CC(C)(CCl)c1ccccc1,u0,e4_8g,protocol_a_row,1101
d29a94054067cd60dd70,6,CC(C)(CCl)c1ccccc1,u0,e4_8g,protocol_a_row,1101
31d92ca6486b229184cf,7,OCCCc1ccccc1,u0,e4_8g,protocol_a_row,1101
8a84cca322477165b719,8,OCCCc1ccccc1,u0,e4_8g,protocol_a_row,1101
9cf769277f6b42d15f11,9,OCCCc1ccccc1,u0,e4_8g,protocol_a_row,1101
7a0a82051f50d5b0c89c,10,OCCCc1ccccc1,u0,e4_8g,protocol_a_row,1101
c79f29f048bbfd157f98,11,BrCCCc1ccccc1,u0,e4_8g,protocol_a_row,1101
df0074b49eeb620c0768,12,BrCCCc1ccccc1,u0,e4_8g,protocol_a_row,1101
f0097bc6b7827ef65922,13,BrCCCc1ccccc1,l0_train,e4_8g,protocol_a_row,1101
44348f5c4aea3b41ee9d,14,BrCCCc1ccccc1,u0,e4_8g,protocol_a_row,1101
482cb91fac7f2a936dca,15,BrCCCc1ccccc1,u0,e4_8g,protocol_a_row,1101
a5c6210123f05414ffc0,16,BrCCCc1ccccc1,test,e4_8g,protocol_a_row,1101
a82e55e1cd19814ea307,17,BrCCCc1ccccc1,u0,e4_8g,protocol_a_row,1101
6ee3c70647b37dcd5417,18,ClCCCc1ccccc1,u0,e4_8g,protocol_a_row,1101
2c7e37ef828eb17c78fb,19,ClCCCc1ccccc1,u0,e4_8g,protocol_a_row,1101
7ab9c351196ad891e172,20,ClCCCc1ccccc1,u0,e4_8g,protocol_a_row,1101
7062ca665af0f9bba6c9,21,ClCCCc1ccccc1,test,e4_8g,protocol_a_row,1101
6644e934f59d8b816b9f,22,ClCCCc1ccccc1,u0,e4_8g,protocol_a_row,1101
8cc7c76a92a4474d7c6a,23,ClCCCc1ccccc1,u0,e4_8g,protocol_a_row,1101
c883df6ea04f89f45f03,24,ClCCCc1ccccc1,u0,e4_8g,protocol_a_row,1101
46ed1e35ca65ace74790,25,COc1ccc(CO)cc1,u0,e4_8g,protocol_a_row,1101
ec581cec37da9563e756,26,COc1ccc(CO)cc1,u0,e4_8g,protocol_a_row,1101
c2bd8e8f13a96726e7fc,27,COc1ccc(CO)cc1,u0,e4_8g,protocol_a_row,1101
f1afcbd393ce4f5a6316,28,COc1ccc(CO)cc1,u0,e4_8g,protocol_a_row,1101
2909efb29670d8f2286d,29,CCOC(=O)C(C)(C)Br,u0,e4_8g,protocol_a_row,1101
56b391fdec7a2a622e52,30,CCOC(=O)C(C)(C)Br,u0,e4_8g,protocol_a_row,1101
8a9485661ac2c4576006,31,CCOC(=O)C(C)(C)Br,u0,e4_8g,protocol_a_row,1101
7f6d1cdee16de4a37a21,32,CCOC(=O)C(C)(C)Br,u0,e4_8g,protocol_a_row,1101
fd7bf535ef538434b384,33,CCOC(=O)C(C)(C)Br,u0,e4_8g,protocol_a_row,1101
651bb6b60c62819a4323,34,CCOC(=O)C(C)(C)Br,u0,e4_8g,protocol_a_row,1101
2a61203b59218a3cbdc6,35,CCOC(=O)C(C)(C)Br,l0_train,e4_8g,protocol_a_row,1101
6d6c0510303dec89b2fe,36,COc1ccc(C=O)cc1,u0,e4_8g,protocol_a_row,1101
f81dc37125414986a0bb,37,COc1ccc(C=O)cc1,test,e4_8g,protocol_a_row,1101
400615278105cebb3ed9,38,COc1ccc(C=O)cc1,u0,e4_8g,protocol_a_row,1101
5d04f6757b59f5c356bb,39,COc1ccc(C=O)cc1,u0,e4_8g,protocol_a_row,1101
a074620f6970d8f89567,40,COc1ccc(C=O)cc1,test,e4_8g,protocol_a_row,1101
454c1ea3beebbec4befe,41,COc1ccc(C=O)cc1,u0,e4_8g,protocol_a_row,1101
f95928e2618ed15e654f,42,COc1ccc(C=O)cc1,u0,e4_8g,protocol_a_row,1101
3a02b99399bb0c3e9ff9,43,COC(=O)C#CC(=O)OC,u0,e4_8g,protocol_a_row,1101
b80a4f9e4b61f534ee9e,44,COC(=O)C#CC(=O)OC,u0,e4_8g,protocol_a_row,1101
2690de155843f45b00a3,45,COC(=O)C#CC(=O)OC,u0,e4_8g,protocol_a_row,1101
549eb8499df5181b3558,46,COC(=O)C#CC(=O)OC,l0_train,e4_8g,protocol_a_row,1101
02c141e2551937d10f4e,47,COC(=O)C#CC(=O)OC,u0,e4_8g,protocol_a_row,1101
9069807baff6cbfbde75,48,COC(=O)C#CC(=O)OC,u0,e4_8g,protocol_a_row,1101
1fe1163f7d97c16f3822,49,CC(=O)c1ccccc1,u0,e4_8g,protocol_a_row,1101
1e86d81fe1995d367fe1,50,CC(=O)c1ccccc1,u0,e4_8g,protocol_a_row,1101
