config,mode,pretrained,learning_rate,v2_weight,loss_scaling,reinitialize_head,best_epoch,epochs_run,trainable_parameters,total_parameters,normalized_valid_score,legacy_valid_score,normalized_test_score,valid_V1_mae,valid_V1_rmse,valid_V1_r2,valid_V1_mean_pinball_loss,valid_V1_interval_80_coverage,valid_V1_interval_80_mean_width,valid_V2_mae,valid_V2_rmse,valid_V2_r2,valid_V2_mean_pinball_loss,valid_V2_interval_80_coverage,valid_V2_interval_80_mean_width,valid_quantile_crossing_rate,test_V1_mae,test_V1_rmse,test_V1_r2,test_V1_mean_pinball_loss,test_V1_interval_80_coverage,test_V1_interval_80_mean_width,test_V2_mae,test_V2_rmse,test_V2_r2,test_V2_mean_pinball_loss,test_V2_interval_80_coverage,test_V2_interval_80_mean_width,test_quantile_crossing_rate,split_mode,seed,scaler,train_rows,valid_rows,test_rows
last2_head_lr1e-4,last2_head,True,0.0001,0.5,legacy,False,50,150,186134,775476,0.23073944200899565,28.642534525054145,1.1175075845516478,2.137253761291504,2.959172010421753,0.8714924661523566,0.7731184959411621,0.8363636363636363,10.452719688415527,4.237478733062744,6.306478500366211,0.8502694853204382,1.5852938890457153,0.5636363636363636,7.351168632507324,0.01818181818181818,2.899235486984253,7.935973644256592,0.009271992529570894,1.073830246925354,0.8571428571428571,11.073399543762207,4.9194207191467285,11.611258506774902,0.37653634231299427,1.8431111574172974,0.5892857142857143,7.524158954620361,0.0,row,42,source_4g,441,55,56
last2_head_equal_v2_lr1e-4,last2_head,True,0.0001,1.0,legacy,False,54,154,186134,775476,0.23475632811124975,29.44480076593163,1.0646315770547274,2.0659830570220947,2.856459617614746,0.8802585851363576,0.7568832635879517,0.8545454545454545,10.10330581665039,4.335760116577148,6.524636268615723,0.8397311684310492,1.5862149000167847,0.6181818181818182,7.473095893859863,0.0,2.8980953693389893,7.703503608703613,0.0664650649355637,1.0663056373596191,0.8392857142857143,10.757368087768555,4.904178619384766,11.41423511505127,0.3975151918560007,1.8223905563354492,0.6428571428571429,7.638916492462158,0.0,row,42,source_4g,441,55,56
last2_head_standardized_loss_lr1e-4,last2_head,True,0.0001,1.0,target_standard_deviation,False,55,155,186134,775476,0.2277742162374163,27.889248820444777,1.1676524956641132,2.168182611465454,3.0976381301879883,0.8591847844178209,0.7062219977378845,0.8909090909090909,8.764829635620117,4.088989734649658,6.048782825469971,0.862256073989695,1.3818864822387695,0.6909090909090909,9.000198364257812,0.0,3.0486769676208496,8.140204429626465,-0.04237641503895695,1.0782842636108398,0.8571428571428571,9.195759773254395,4.941680431365967,11.814663887023926,0.35450147793691067,1.802683711051941,0.6964285714285714,9.215832710266113,0.0,row,42,source_4g,441,55,56
last2_head_lr1e-4,last2_head,True,0.0001,0.5,legacy,False,69,169,186134,775476,0.31292463340820403,39.473601078301954,0.2966380671940599,2.115919828414917,3.499600887298584,0.5180105101124653,0.7810935378074646,0.8545454545454545,7.8140459060668945,4.135880947113037,7.379213333129883,0.5499952861317998,1.4926882982254028,0.6727272727272727,6.712575435638428,0.0,2.2500340938568115,4.293674468994141,0.7959595514123239,0.9045477509498596,0.875,9.40595531463623,3.814927816390991,5.66734504699707,0.8872030393596232,1.2002559900283813,0.6428571428571429,7.3551459312438965,0.0,row,525,source_4g,441,55,56
last2_head_equal_v2_lr1e-4,last2_head,True,0.0001,1.0,legacy,False,71,171,186134,775476,0.3158435405479766,39.86694020483827,0.30484741985225877,2.087127685546875,3.507530450820923,0.5158238221936966,0.7785550355911255,0.8363636363636363,7.986852645874023,4.21201753616333,7.424846172332764,0.5444124520955437,1.5376665592193604,0.6363636363636364,6.698007583618164,0.0,2.286832571029663,4.362062454223633,0.7894080216444297,0.912595272064209,0.8928571428571429,9.518651008605957,3.8834099769592285,5.724870204925537,0.8849015842534805,1.2452312707901,0.5714285714285714,7.274861812591553,0.0,row,525,source_4g,441,55,56
last2_head_standardized_loss_lr1e-4,last2_head,True,0.0001,1.0,target_standard_deviation,False,93,193,186134,775476,0.3022426387748537,38.137981118825564,0.2852466503401273,2.044950008392334,3.4353270530700684,0.5355524473618724,0.7688573002815247,0.6181818181818182,4.389424800872803,4.081655502319336,7.257617950439453,0.5647035453791436,1.4789364337921143,0.6363636363636364,6.609548568725586,0.05454545454545454,2.18619966506958,4.212728023529053,0.8035803688705375,0.8167898058891296,0.7857142857142857,5.468971252441406,3.6997342109680176,5.552474021911621,0.891729266808981,1.2201874256134033,0.6071428571428571,7.024355411529541,0.017857142857142856,row,525,source_4g,441,55,56
last2_head_lr1e-4,last2_head,True,0.0001,0.5,legacy,False,489,500,186134,775476,0.7712395171765506,75.85040255709123,1.0988780785183143,3.0464444160461426,6.396289348602295,0.6861549823218174,1.3419698476791382,0.2727272727272727,1.5820387601852417,4.380373954772949,8.359172821044922,0.8024227343699011,1.9674924612045288,0.32727272727272727,2.381423234939575,0.3090909090909091,3.639214038848877,6.686020851135254,0.6119506927712417,1.5859788656234741,0.21428571428571427,1.8509634733200073,6.321834087371826,11.773460388183594,0.647299855045429,2.8650317192077637,0.30357142857142855,2.1302006244659424,0.39285714285714285,row,1101,source_4g,441,55,56
last2_head_equal_v2_lr1e-4,last2_head,True,0.0001,1.0,legacy,False,478,500,186134,775476,0.7295187305112805,71.8680530273839,1.0938130990285342,3.0130109786987305,6.198606014251709,0.7052545772722778,1.2944704294204712,0.2909090909090909,1.998702049255371,4.359372138977051,8.178671836853027,0.8108632262793511,2.00146484375,0.23636363636363636,1.7820096015930176,0.34545454545454546,3.63480544090271,6.638544082641602,0.6174420904368527,1.562065839767456,0.2857142857142857,2.34004545211792,6.282891273498535,11.798358917236328,0.6458065141345349,2.944434642791748,0.19642857142857142,1.4851163625717163,0.4107142857142857,row,1101,source_4g,441,55,56
last2_head_standardized_loss_lr1e-4,last2_head,True,0.0001,1.0,target_standard_deviation,False,468,500,186134,775476,0.73332245807465,72.2328946305247,1.0442341071641927,3.003220319747925,6.216564178466797,0.7035442379530519,1.3858567476272583,0.16363636363636364,0.7252111434936523,4.291364669799805,8.196002006530762,0.8100608360151218,1.9660333395004272,0.23636363636363636,1.9447060823440552,0.509090909090909,3.5445518493652344,6.437209129333496,0.6402947576876881,1.626649022102356,0.10714285714285714,0.9746478199958801,6.066336154937744,11.60675048828125,0.657217493444919,2.765164852142334,0.25,1.9391310214996338,0.39285714285714285,row,1101,source_4g,441,55,56
last2_head_lr1e-4,last2_head,True,0.0001,0.5,legacy,False,28,128,186134,775476,1.0244941325279053,118.41711269806387,0.17358180364306242,3.110774278640747,6.161022663116455,0.6505450434183788,1.3761558532714844,0.6140350877192983,10.811005592346191,5.570560455322266,12.685338973999023,0.5888928320751807,2.3285107612609863,0.5964912280701754,5.836343288421631,0.3333333333333333,2.143455982208252,3.0623157024383545,0.8767583589188797,0.9622857570648193,0.6666666666666666,11.24581527709961,3.422231912612915,4.355384826660156,0.9131301184879201,1.2782208919525146,0.5370370370370371,6.417266845703125,0.48148148148148145,compound,42,source_4g,441,57,54
