split_mode,config,normalized_valid_score_mean,normalized_valid_score_std,normalized_test_score_mean,normalized_test_score_std,valid_V1_r2_mean,valid_V1_r2_std,valid_V2_r2_mean,valid_V2_r2_std,test_V1_r2_mean,test_V1_r2_std,test_V2_r2_mean,test_V2_r2_std,test_V1_mae_mean,test_V1_mae_std,test_V2_mae_mean,test_V2_mae_std,test_V1_rmse_mean,test_V1_rmse_std,test_V2_rmse_mean,test_V2_rmse_std,test_V1_interval_80_coverage_mean,test_V1_interval_80_coverage_std,test_V2_interval_80_coverage_mean,test_V2_interval_80_coverage_std,test_quantile_crossing_rate_mean,test_quantile_crossing_rate_std
compound,last2_head_equal_v2_lr1e-4,0.7813168465747787,0.20841462855157247,0.1750929275616003,0.020375757261899857,0.6949528114736686,0.05195867180548172,0.7319465171812009,0.13084166801926586,0.8930011293740358,0.036611104461609624,0.8886446364810396,0.018919176747718133,1.9353724718093872,0.36225980492550747,3.8191184202829995,0.571121210716356,2.6797589461008706,0.44554066590205393,4.978143056233724,0.5212171281476845,0.8086979901861935,0.07973647520176501,0.538851919069705,0.19712922994192766,0.21656471958952297,0.17891217094367523
compound,last2_head_lr1e-4,0.7999742681320043,0.20876348218357169,0.1660038732596155,0.013190909497049527,0.6828718916693818,0.044742758922508674,0.7311003542896217,0.13441596780885523,0.9010736744424662,0.029505284198786615,0.8921487174941299,0.02298777317064026,1.8034574588139851,0.3132568385037654,3.6759069760640464,0.41660858955905533,2.5923277537027993,0.4169074308686601,4.884952386220296,0.4637576091816932,0.7960274248840492,0.11356367751373755,0.5261589478165402,0.11758911052442743,0.22945934440187313,0.24153242838688221
compound,last2_head_standardized_loss_lr1e-4,0.8015085238811889,0.2137689784829233,0.16702928877293735,0.025826146139397075,0.6870605886489525,0.03704555810294856,0.7280303424664701,0.13871968958697303,0.899917705319476,0.01764869340975034,0.8936884809708884,0.02489160756092224,1.8327371676762898,0.1889151713327482,3.6124473412831626,0.5395655152922695,2.6267662048339844,0.30089279175489453,4.850154558817546,0.6132973532324132,0.8342855862517085,0.13568054068390656,0.5809863099639264,0.19957580050632684,0.023391812865497075,0.04051580836418426
row,last2_head_equal_v2_lr1e-4,0.42670619972350227,0.265358918460948,0.8210973653118402,0.44732359086733003,0.7004456615341107,0.18226496746001675,0.7316689489353146,0.16280996968105432,0.49110505900561535,0.37766706739783706,0.6427410967480054,0.24370765572991915,2.939911127090454,0.6749586155281607,5.02349328994751,1.2041821357540188,6.234703381856282,1.706933721888817,9.645821412404379,3.4010706479612582,0.6726190476190476,0.33613828341655955,0.4702380952380953,0.23980044141052012,0.1369047619047619,0.23712600341716772
row,last2_head_lr1e-4,0.4383011975312501,0.29124653635280945,0.837674576754674,0.4686439406755526,0.6918859861955465,0.1768106518722711,0.7342291686073796,0.16133480865315464,0.47239407890437884,0.4114928494891676,0.6370130789060154,0.25548871245249793,2.929494539896647,0.6950841226818563,5.018727540969849,1.2564000742264447,6.305222988128662,1.8507677001401805,9.68402131398519,3.4794889765484722,0.6488095238095238,0.3764145655657709,0.511904761904762,0.1823994457862448,0.13095238095238096,0.22681617718163866
row,last2_head_standardized_loss_lr1e-4,0.4211131043623067,0.2729329531183674,0.8323777510561444,0.4778308860706052,0.6994271565775817,0.16185544527868984,0.7456734851279867,0.15888258254550916,0.4671662371730895,0.448765900578803,0.6344827460636036,0.269334505472215,2.926476160685221,0.6873717640818416,4.902583599090576,1.1837852896622765,6.263380527496338,1.9694999409051672,9.657962799072266,3.5569770268991316,0.5833333333333334,0.4139366345408026,0.5178571428571428,0.23622779563076696,0.1369047619047619,0.2218410137331455
